CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,site_id_sort_key
C000007A,41-5-002,006+0.483,006+0.818,N-7,1,0.335,1035.25,346.80875000000003,,RAVALLI,,US-93,NI-NHS,0.2,5176.25,1734.04375,"['', 41, '-', 5, '-', 2, '']"
C000007A,41-5-002,006+0.818,012+0.914,N-7,12,6.017,1035.25,6229.09925,,RAVALLI,,US-93,NI-NHS,2.4,431.3541666666667,2595.4580208333336,"['', 41, '-', 5, '-', 2, '']"
C000007A,41-5-003,012+0.914,026+0.475,N-7,119,13.481,1136.25,15317.78625,,RAVALLI,,US-93,NI-NHS,23.8,47.74159663865546,643.6044642857142,"['', 41, '-', 5, '-', 3, '']"
C000007A,41-2-001,026+0.475,029+0.434,N-7,31,2.963,3025.0,8963.075,,RAVALLI,,US-93,NI-NHS,6.2,487.9032258064516,1445.657258064516,"['', 41, '-', 2, '-', 1, '']"
C000007A,41-2-007,029+0.434,030+0.432,N-7,9,0.994,3420.75,3400.2255,,RAVALLI,,US-93,NI-NHS,1.8,1900.4166666666663,1889.0141666666664,"['', 41, '-', 2, '-', 7, '']"
C000007A,41-2-008,030+0.432,031+0.008,N-7,2,0.563,4616.75,2599.2302499999996,,RAVALLI,,US-93,NI-NHS,0.4,11541.875,6498.075624999999,"['', 41, '-', 2, '-', 8, '']"
C000007A,41-2-009,031+0.008,033+0.549,N-7,42,2.544,4949.75,12592.164,,RAVALLI,,US-93,NI-NHS,8.4,589.2559523809524,1499.067142857143,"['', 41, '-', 2, '-', 9, '']"
C000007A,41-2-002,033+0.549,037+0.911,N-7,60,4.366,4274.5,18662.466999999997,,RAVALLI,,US-93,NI-NHS,12.0,356.2083333333333,1555.2055833333332,"['', 41, '-', 2, '-', 2, '']"
C000007A,41-2-002,037+0.911,038+0.606,N-7,14,0.661,4274.5,2825.4445,,RAVALLI,,US-93,NI-NHS,2.8,1526.607142857143,1009.0873214285716,"['', 41, '-', 2, '-', 2, '']"
C000007A,41-2-002,038+0.606,043+0.223,N-7,67,4.595,4274.5,19641.3275,,RAVALLI,,US-93,NI-NHS,13.4,318.9925373134328,1465.770708955224,"['', 41, '-', 2, '-', 2, '']"
