CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,site_id_sort_key
C000212A,24-3-009,012+0.272,012+0.984,S-212,3,0.712,1396.6666666666667,994.4266666666666,,LAKE,,S-212,Secondary,0.6,2327.777777777778,1657.3777777777775,"['', 24, '-', 3, '-', 9, '']"
C000212A,090277S,012+0.984,014+0.478,S-212,8,1.499,1670.3333333333333,2503.8296666666665,,LAKE,,S-212,Secondary,1.6,1043.9583333333333,1564.8935416666666,"['', 90277, 'S']"
C000212A,24-3-008,014+0.478,017+0.612,S-212,18,3.094,1494.0,4622.436,,LAKE,,S-212,Secondary,3.6,415.0,1284.01,"['', 24, '-', 3, '-', 8, '']"
