CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,site_id_sort_key
C000078A,05-3-015,000+0.000,000+0.668,P-78,0,0.668,3289.0,2197.052,,CARBON,3RD ST,MT-78,Primary,0.0,,,"['', 5, '-', 3, '-', 15, '']"
C000078A,05-3-014,000+0.668,002+0.558,P-78,5,1.86,2493.0,4636.9800000000005,,CARBON,3RD ST,MT-78,Primary,1.0,2493.0,4636.9800000000005,"['', 5, '-', 3, '-', 14, '']"
C000078A,48-2-004,029+1.018,032+0.768,P-78,18,2.864,1898.0,5435.871999999999,,STILLWATER,3RD ST,MT-78,Primary,3.6,527.2222222222222,1509.9644444444443,"['', 48, '-', 2, '-', 4, '']"
C000078A,48-2-005,032+0.768,043+0.641,P-78,104,10.779,2536.25,27338.23875,,STILLWATER,3RD ST,MT-78,Primary,20.8,121.93509615384616,1314.3384014423077,"['', 48, '-', 2, '-', 5, '']"
C000078A,48-2-006,043+0.641,045+1.123,P-78,24,2.336,3270.5,7639.888,,STILLWATER,3RD ST,MT-78,Primary,4.8,681.3541666666667,1591.6433333333334,"['', 48, '-', 2, '-', 6, '']"
C000078A,48-2-015,045+1.123,046+0.462,P-78,2,0.487,4876.75,2374.97725,,STILLWATER,3RD ST,MT-78,Primary,0.4,12191.875,5937.443125,"['', 48, '-', 2, '-', 15, '']"
C000078A,48-2-016,046+0.462,046+0.724,P-78,6,0.262,5421.0,1420.302,,STILLWATER,3RD ST,MT-78,Primary,1.2,4517.5,1183.5850000000005,"['', 48, '-', 2, '-', 16, '']"
C000078A,48-2-017,046+0.724,047+0.041,P-78,4,0.217,4587.25,995.43325,,STILLWATER,3RD ST,MT-78,Primary,0.8,5734.0625,1244.2915625,"['', 48, '-', 2, '-', 17, '']"
C000078A,48-2-018,047+0.041,047+0.328,P-78,3,0.287,3980.5,1142.4035,,STILLWATER,3RD ST,MT-78,Primary,0.6,6634.166666666667,1904.0058333333332,"['', 48, '-', 2, '-', 18, '']"
C000078A,48-2-019,047+0.328,047+0.776,P-78,9,0.448,5881.5,2634.9120000000003,,STILLWATER,3RD ST,MT-78,Primary,1.8,3267.5,1463.84,"['', 48, '-', 2, '-', 19, '']"
C000078A,48-2-019,047+0.776,047+0.840,P-78,2,0.064,6033.333333333333,386.1333333333333,,STILLWATER,3RD ST,MT-78,Primary,0.4,15083.333333333332,965.3333333333331,"['', 48, '-', 2, '-', 19, '']"
