SEGMENT_KEY,CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,site_id_sort_key
C000015_000+0.000_000+0.314_I-15,C000015A,01-8-002,000+0.000,000+0.314,I-15,5,0.314,3271.25,1027.1725,,BEAVERHEAD,,I-15,Interstate,1.0,3271.25,1027.1725,"['', 1, '-', 8, '-', 2, '']"
C000015_000+0.314_009+0.280_I-15,C000015A,01-8-002,000+0.314,009+0.280,I-15,46,8.983,3271.25,29385.63875,,BEAVERHEAD,,I-15,Interstate,9.2,355.57065217391306,3194.091168478262,"['', 1, '-', 8, '-', 2, '']"
C000015_009+0.280_014+0.910_I-15,C000015A,01-8-002,009+0.280,014+0.910,I-15,29,5.631,3271.25,18420.40875,,BEAVERHEAD,,I-15,Interstate,5.8,564.0086206896552,3175.932543103449,"['', 1, '-', 8, '-', 2, '']"
C000015_014+0.910_023+0.533_I-15,C000015A,W-142,014+0.910,023+0.533,I-15,25,8.589,3726.0,32002.614,,BEAVERHEAD,,I-15,Interstate,5.0,745.2,6400.522800000001,"['W-', 142, '']"
C000015_023+0.533_029+0.384_I-15,C000015A,W-142,023+0.533,029+0.384,I-15,16,5.862,3465.75,20316.2265,,BEAVERHEAD,,I-15,Interstate,3.2,1083.046875,6348.8207812499995,"['W-', 142, '']"
C000015_029+0.384_037+0.056_I-15,C000015A,01-6-002,029+0.384,037+0.056,I-15,24,7.676,4232.0,32484.832,,BEAVERHEAD,,I-15,Interstate,4.8,881.6666666666667,6767.673333333334,"['', 1, '-', 6, '-', 2, '']"
C000015_037+0.056_044+0.239_I-15,C000015A,01-6-002,037+0.056,044+0.239,I-15,25,7.179,3980.25,28574.214750000003,,BEAVERHEAD,,I-15,Interstate,5.0,796.05,5714.84295,"['', 1, '-', 6, '-', 2, '']"
C000015_044+0.239_051+0.574_I-15,C000015A,01-6-001,044+0.239,051+0.574,I-15,35,7.313,4370.0,31957.81,,BEAVERHEAD,,I-15,Interstate,7.0,624.2857142857143,4565.401428571428,"['', 1, '-', 6, '-', 1, '']"
C000015_051+0.574_052+0.411_I-15,C000015A,01-6-001,051+0.574,052+0.411,I-15,7,0.834,4847.5,4042.815,,BEAVERHEAD,,I-15,Interstate,1.4,3462.5,2887.725,"['', 1, '-', 6, '-', 1, '']"
C000015_052+0.411_055+0.794_I-15,C000015A,01-4-006,052+0.411,055+0.794,I-15,12,3.401,4477.0,15226.276999999998,,BEAVERHEAD,,I-15,Interstate,2.4,1865.4166666666667,6344.282083333333,"['', 1, '-', 4, '-', 6, '']"
C000015_055+0.794_059+0.464_I-15,C000015A,01-4-006,055+0.794,059+0.464,I-15,29,3.668,4340.75,15921.871,,BEAVERHEAD,,I-15,Interstate,5.8,748.4051724137931,2745.150172413794,"['', 1, '-', 4, '-', 6, '']"
C000015_059+0.464_062+0.153_I-15,C000015A,01-4-005,059+0.464,062+0.153,I-15,30,2.692,5725.0,15411.7,,BEAVERHEAD,,I-15,Interstate,6.0,954.1666666666666,2568.616666666667,"['', 1, '-', 4, '-', 5, '']"
C000015_062+0.153_063+0.596_I-15,C000015A,01-4A-020,062+0.153,063+0.596,I-15,7,1.438,5271.0,7579.697999999999,,BEAVERHEAD,,I-15,Interstate,1.4,3765.000000000001,5414.07,"['', 1, '-', 4, 'A-', 20, '']"
C000015_063+0.596_074+0.685_I-15,C000015A,W-122,063+0.596,074+0.685,I-15,32,11.174,3915.0,43746.21,,BEAVERHEAD,,I-15,Interstate,6.4,611.71875,6835.3453125,"['W-', 122, '']"
C000015_074+0.685_084+0.942_I-15,C000015A,29-1-001,074+0.685,084+0.942,I-15,54,10.313,3852.0,39725.676,,BEAVERHEAD,,I-15,Interstate,10.8,356.66666666666663,3678.303333333333,"['', 29, '-', 1, '-', 1, '']"
