SEGMENT_KEY,CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,site_id_sort_key
C000205_000+0.000_000+0.075_S-205,C000205A,16-1-003,000+0.000,000+0.075,S-205,1,0.075,1385.5,103.9125,,GALLATIN,FRONTAGE RD,S-205,Secondary,0.2,6927.5,519.5624999999999,"['', 16, '-', 1, '-', 3, '']"
C000205_000+0.075_001+0.873_S-205,C000205A,16-1-003,000+0.075,001+0.873,S-205,13,1.797,1385.5,2489.7435,,GALLATIN,FRONTAGE RD,S-205,Secondary,2.6,532.8846153846154,957.593653846154,"['', 16, '-', 1, '-', 3, '']"
C000205_001+0.873_005+0.139_S-205,C000205A,16-1-004,001+0.873,005+0.139,S-205,18,3.166,1095.5,3468.353,,GALLATIN,FRONTAGE RD,S-205,Secondary,3.6,304.30555555555554,963.4313888888888,"['', 16, '-', 1, '-', 4, '']"
C000205_005+0.139_008+0.628_S-205,C000205A,16-1-030,005+0.139,008+0.628,S-205,17,3.472,1081.0,3753.232,,GALLATIN,FRONTAGE RD,S-205,Secondary,3.4,317.94117647058823,1103.8917647058825,"['', 16, '-', 1, '-', 30, '']"
C000205_008+0.628_010+0.343_S-205,C000205A,16-1-019,008+0.628,010+0.343,S-205,1,1.729,1138.0,1967.602,,GALLATIN,FRONTAGE RD,S-205,Secondary,0.2,5690.0,9838.01,"['', 16, '-', 1, '-', 19, '']"
C000205_010+0.343_010+0.826_S-205,C000205A,16-1-020,010+0.343,010+0.826,S-205,5,0.484,2024.25,979.737,,GALLATIN,FRONTAGE RD,S-205,Secondary,1.0,2024.25,979.737,"['', 16, '-', 1, '-', 20, '']"
C000205_010+0.826_010+0.963_S-205,C000205A,16-1-021,010+0.826,010+0.963,S-205,3,0.137,2055.0,281.535,,GALLATIN,FRONTAGE RD,S-205,Secondary,0.6,3425.0,469.2250000000001,"['', 16, '-', 1, '-', 21, '']"
C000205_010+0.963_013+0.726_S-205,C000205A,16-1-022,010+0.963,013+0.726,S-205,18,2.809,1992.25,5596.2302500000005,,GALLATIN,FRONTAGE RD,S-205,Secondary,3.6,553.4027777777777,1554.508402777778,"['', 16, '-', 1, '-', 22, '']"
C000205_013+0.726_015+0.454_S-205,C000205A,16-2-012,013+0.726,015+0.454,S-205,20,1.739,2622.4,4560.3536,,GALLATIN,FRONTAGE RD,S-205,Secondary,4.0,655.6,1140.0884,"['', 16, '-', 2, '-', 12, '']"
