SEGMENT_KEY,CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,site_id_sort_key
C000090_000+0.000_000+0.139_I-90,C000090A,W-146,000+0.000,000+0.139,I-90,5,0.139,7751.25,1077.4237500000002,,MINERAL,,I-90,Interstate,1.0,7751.25,1077.4237500000002,"['W-', 146, '']"
C000090_000+0.139_005+0.491_I-90,C000090A,W-146,000+0.139,005+0.491,I-90,162,5.176,7751.25,40120.47,,MINERAL,,I-90,Interstate,32.4,239.23611111111111,1238.2861111111113,"['W-', 146, '']"
C000090_005+0.491_010+0.301_I-90,C000090A,W-146,005+0.491,010+0.301,I-90,73,4.876,7751.25,37795.095,,MINERAL,,I-90,Interstate,14.6,530.9075342465753,2588.7051369863016,"['W-', 146, '']"
C000090_010+0.301_016+0.022_I-90,C000090A,31-1-002,010+0.301,016+0.022,I-90,108,5.656,7448.0,42125.888,,MINERAL,,I-90,Interstate,21.6,344.8148148148148,1950.2725925925924,"['', 31, '-', 1, '-', 2, '']"
C000090_016+0.022_018+0.688_I-90,C000090A,31-1-002,016+0.022,018+0.688,I-90,48,2.681,7867.5,21092.7675,,MINERAL,,I-90,Interstate,9.6,819.53125,2197.16328125,"['', 31, '-', 1, '-', 2, '']"
C000090_018+0.688_021+0.785_I-90,C000090A,31-1-002,018+0.688,021+0.785,I-90,54,3.062,7867.5,24090.285,,MINERAL,,I-90,Interstate,10.8,728.4722222222222,2230.581944444444,"['', 31, '-', 1, '-', 2, '']"
C000090_021+0.785_025+0.133_I-90,C000090A,31-1-002,021+0.785,025+0.133,I-90,93,3.38,7867.5,26592.15,,MINERAL,,I-90,Interstate,18.6,422.9838709677419,1429.6854838709676,"['', 31, '-', 1, '-', 2, '']"
C000090_025+0.133_026+0.394_I-90,C000090A,W-137,025+0.133,026+0.394,I-90,29,1.261,8111.0,10227.971,,MINERAL,,I-90,Interstate,5.8,1398.448275862069,1763.443275862069,"['W-', 137, '']"
C000090_026+0.394_029+0.777_I-90,C000090A,W-137,026+0.394,029+0.777,I-90,109,3.399,7021.0,23864.379,,MINERAL,,I-90,Interstate,21.8,322.0642201834862,1094.6962844036698,"['W-', 137, '']"
C000090_029+0.777_033+0.158_I-90,C000090A,W-137,029+0.777,033+0.158,I-90,104,3.368,7021.0,23646.728,,MINERAL,,I-90,Interstate,20.8,337.5480769230769,1136.861923076923,"['W-', 137, '']"
C000090_033+0.158_037+0.029_I-90,C000090A,31-1-004,033+0.158,037+0.029,I-90,70,3.712,7117.0,26418.304,,MINERAL,,I-90,Interstate,14.0,508.3571428571428,1887.0217142857143,"['', 31, '-', 1, '-', 4, '']"
C000090_037+0.029_042+0.792_I-90,C000090A,31-1-004,037+0.029,042+0.792,I-90,73,5.278,7097.25,37459.2855,,MINERAL,,I-90,Interstate,14.6,486.11301369863014,2565.70448630137,"['', 31, '-', 1, '-', 4, '']"
C000090_042+0.792_047+0.321_I-90,C000090A,A-030,042+0.792,047+0.321,I-90,89,4.556,7437.0,33882.972,,MINERAL,,I-90,Interstate,17.8,417.80898876404495,1903.537752808989,"['A-', 30, '']"
C000090_047+0.321_055+0.150_I-90,C000090A,31-2-006,047+0.321,055+0.150,I-90,135,7.89,7649.0,60350.61,,MINERAL,,I-90,Interstate,27.0,283.2962962962963,2235.2077777777777,"['', 31, '-', 2, '-', 6, '']"
C000090_055+0.150_061+0.565_I-90,C000090A,31-2-006,055+0.150,061+0.565,I-90,107,6.32,7346.0,46426.72,,MINERAL,,I-90,Interstate,21.4,343.2710280373832,2169.472897196262,"['', 31, '-', 2, '-', 6, '']"
C000090_061+0.565_064+0.910_I-90,C000090A,31-2-002,061+0.565,064+0.910,I-90,56,3.349,8176.0,27381.424000000003,,MINERAL,,I-90,Interstate,11.2,730.0,2444.7700000000004,"['', 31, '-', 2, '-', 2, '']"
C000090_064+0.910_066+0.549_I-90,C000090A,31-2-002,064+0.910,066+0.549,I-90,32,1.696,7740.0,13127.04,,MINERAL,,I-90,Interstate,6.4,1209.375,2051.1,"['', 31, '-', 2, '-', 2, '']"
C000090_066+0.549_070+0.373_I-90,C000090A,31-2-013,066+0.549,070+0.373,I-90,56,3.891,9170.0,35680.47,,MINERAL,,I-90,Interstate,11.2,818.75,3185.7562500000004,"['', 31, '-', 2, '-', 13, '']"
C000090_070+0.373_074+0.756_I-90,C000090A,31-2-013,070+0.373,074+0.756,I-90,48,4.391,8332.25,36586.90975,,MINERAL,,I-90,Interstate,9.6,867.9427083333334,3811.1364322916666,"['', 31, '-', 2, '-', 13, '']"
C000090_074+0.756_077+0.182_I-90,C000090A,31-2-014,074+0.756,077+0.182,I-90,25,2.447,9168.0,22434.096,,MINERAL,,I-90,Interstate,5.0,1833.6,4486.8192,"['', 31, '-', 2, '-', 14, '']"
C000090_077+0.182_077+0.229_I-90,C000090A,31-2-014,077+0.182,077+0.229,I-90,0,0.047,8654.75,406.77325,,MISSOULA,,I-90,Interstate,0.0,,,"['', 31, '-', 2, '-', 14, '']"
C000090_077+0.229_082+0.164_I-90,C000090A,31-2-014,077+0.229,082+0.164,I-90,95,4.959,8654.75,42918.90525,,MISSOULA,,I-90,Interstate,19.0,455.5131578947368,2258.88975,"['', 31, '-', 2, '-', 14, '']"
C000090_082+0.164_084+0.781_I-90,C000090A,32-3-001,082+0.164,084+0.781,I-90,61,2.569,10997.0,28251.293,,MISSOULA,,I-90,Interstate,12.2,901.3934426229508,2315.6797540983607,"['', 32, '-', 3, '-', 1, '']"
C000090_084+0.781_089+0.501_I-90,C000090A,32-3-001,084+0.781,089+0.501,I-90,83,4.524,10540.0,47682.96,,MISSOULA,,I-90,Interstate,16.6,634.9397590361446,2872.467469879518,"['', 32, '-', 3, '-', 1, '']"
C000090_089+0.501_095+0.972_I-90,C000090A,32-3-002,089+0.501,095+0.972,I-90,131,6.464,12145.0,78505.28,,MISSOULA,,I-90,Interstate,26.2,463.5496183206107,2996.3847328244274,"['', 32, '-', 3, '-', 2, '']"
C000090_095+0.972_099+0.663_I-90,C000090A,32-3-024,095+0.972,099+0.663,I-90,88,3.701,20998.0,77713.598,,MISSOULA,,I-90,Interstate,17.6,1193.0681818181818,4415.545340909091,"['', 32, '-', 3, '-', 24, '']"
C000090_099+0.663_101+0.481_I-90,C000090A,32-3A-001,099+0.663,101+0.481,I-90,33,1.817,24179.0,43933.243,,MISSOULA,,I-90,Interstate,6.6,3663.484848484849,6656.55196969697,"['', 32, '-', 3, 'A-', 1, '']"
