SEGMENT_KEY,CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,PER_100M_VMT
C073967_000+0.000_000+0.337_L-32-4610,C073967A,32-3A-281,000+0.000,000+0.337,L-32-4610,3,0.337,179.6,60.525200000000005,,MISSOULA,,,,0.6,299.3333333333333,100.87533333333334,2714.0934227053535
C231506_000+0.000_000+0.867_L-32-5284,C231506A,060231W,000+0.000,000+0.867,L-32-5284,7,0.867,164.0,142.188,,MISSOULA,,,,1.4,117.14285714285715,101.56285714285714,2695.720526334812
C002302_013+0.721_017+0.106_L-5-303,C002302A,090750F,013+0.721,017+0.106,L-5-303,4,3.386,24.0,81.26400000000001,,CARBON,,,,0.8,30.0,101.58000000000001,2695.265590797501
C008128_002+0.944_003+0.023_N-131,C008128A,32-3A-015,002+0.944,003+0.023,N-131,47,0.079,12100.25,955.91975,,MISSOULA,W BROADWAY ST,BR I-90,NI-NHS,9.4,1287.2606382978722,101.69359042553191,2692.2550139843593
C229225_000+0.000_000+0.206_R090W107OFA,C229225A,32-3-044,000+0.000,000+0.206,R090W107OFA,5,0.206,494.4,101.84639999999999,,MISSOULA,,,,1.0,494.4,101.84639999999999,2688.2155747597376
C005703_000+0.139_000+0.287_U-5703,C005703A,21-4A-031,000+0.139,000+0.287,U-5703,11,0.147,1525.0,224.17499999999998,,HILL,3RD ST,,Urban,2.2,693.1818181818181,101.89772727272725,2686.8614839703905
C021017_000+0.000_000+0.935_L-21-17,C021017A,059737N,000+0.000,000+0.935,L-21-17,2,0.935,43.666666666666664,40.82833333333333,,HILL,,,,0.4,109.16666666666666,102.07083333333333,2682.3047267490074
C229146_000+0.000_000+0.227_R090W022OFA,C229146A,31-1-030,000+0.000,000+0.227,R090W022OFA,1,0.227,90.4,20.5208,,MINERAL,,,,0.2,452.0,102.604,2668.3665228764
C011330_000+0.000_000+0.297_X-11330,C011330A,060809L,000+0.000,000+0.297,X-11330,1,0.297,69.25,20.567249999999998,,DAWSON,,,,0.2,346.25,102.83624999999998,2662.34016422429
C008108_000+0.145_000+0.223_U-8108,C008108A,32-3A-211,000+0.145,000+0.223,U-8108,14,0.078,3719.5,290.121,,MISSOULA,MAIN ST,,Urban,2.8,1328.3928571428573,103.61464285714285,2642.3396458615143
C031006_000+0.000_000+0.300_X-31006,C031006A,090957M,000+0.000,000+0.300,X-31006,2,0.3,138.66666666666666,41.599999999999994,,MINERAL,,,,0.4,346.66666666666663,103.99999999999999,2632.548833780867
C228530_000+0.000_000+0.246_R094E185OFA,C228530A,40-2-018,000+0.000,000+0.246,R094E185OFA,1,0.246,84.6,20.8116,,PRAIRIE,,,,0.2,422.99999999999994,104.05799999999999,2631.081499867479
C006720_000+0.624_000+0.761_U-6720,C006720A,15-7C-041,000+0.624,000+0.761,U-6720,7,0.137,1067.0,146.179,,FLATHEAD,7TH AVE W,,Urban,1.4,762.1428571428572,104.41357142857143,2622.1215783285843
C006725_001+0.282_001+0.418_U-6725,C006725A,15-7C-064,001+0.282,001+0.418,U-6725,8,0.136,1229.5,167.21200000000002,,FLATHEAD,4TH AVE E,,Urban,1.6,768.4375,104.50750000000001,2619.7648849432826
C006715_000+0.753_000+0.826_U-6715,C006715A,15-7C-025,000+0.753,000+0.826,U-6715,6,0.073,1721.75,125.68775,,FLATHEAD,2ND ST,,Urban,1.2,1434.7916666666667,104.73979166666666,2613.9547764666972
C026263_000+0.000_000+0.745_L-26-263,C026263A,059780U,000+0.000,000+0.745,L-26-263,1,0.745,28.333333333333332,21.10833333333333,,LIBERTY,,,,0.2,141.66666666666666,105.54166666666664,2594.094705533772
C223602_000+0.000_000+0.328_L-56-930,C223602A,087471G,000+0.000,000+0.328,L-56-930,9,0.328,580.6666666666666,190.45866666666666,,YELLOWSTONE,,,,1.8,322.59259259259255,105.81037037037036,2587.507044487929
C066174_000+0.331_000+0.544_L-15-6608,C066174A,15-7C-035,000+0.331,000+0.544,L-15-6608,5,0.213,503.25,107.19225,,FLATHEAD,,,,1.0,503.25,107.19225,2554.1499382017837
C228602_000+0.000_000+0.410_R094W148ONA,C228602A,09-2-043,000+0.000,000+0.410,R094W148ONA,1,0.41,52.4,21.483999999999998,,CUSTER,,,,0.2,262.0,107.41999999999999,2548.734674299108
C016233_000+0.883_001+0.745_L-16-233,C016233A,16-3-108,000+0.883,001+0.745,L-16-233,3,0.863,75.25,64.94075,,GALLATIN,SPOONER RD,,Urban,0.6,125.41666666666667,108.23458333333333,2529.5526649742433
C006898_000+0.131_000+0.270_L-46-1187,C006898A,46-1-027,000+0.131,000+0.270,L-46-1187,7,0.139,1097.25,152.51775,,SHERIDAN,,,,1.4,783.75,108.94125000000001,2513.1442746729094
C000014_270+0.828_270+0.862_P-14,C000014A,44-5-012,270+0.828,270+0.862,P-14,2,0.034,1281.75,43.5795,,ROSEBUD,BROADWAY ST,US-12,Primary,0.4,3204.375,108.94875,2512.9712705580387
C005353_000+0.000_001+0.154_L-5-353,C005353A,090739F,000+0.000,001+0.154,L-5-353,1,1.154,19.0,21.926,,CARBON,,,,0.2,95.0,109.62999999999998,2497.3554566561174
C228282_000+0.000_000+0.186_R015N286ONA,C228282A,07-1-025,000+0.000,000+0.186,R015N286ONA,1,0.186,119.2,22.1712,,CASCADE,,,,0.2,596.0,110.856,2469.736222786409
C000110_001+0.518_001+0.670_N-110,C000110A,07-2A-020,001+0.518,001+0.670,N-110,40,0.152,5843.75,888.25,,CASCADE,14TH ST,,NI-NHS,8.0,730.46875,111.03125,2465.8380295025963
C248635_000+0.000_000+0.056_L-56-4808,C248635A,56-4A-392,000+0.000,000+0.056,L-56-4808,4,0.056,1588.75,88.97,,YELLOWSTONE,,,,0.8,1985.9375,111.21249999999999,2461.819298309184
C228982_000+0.000_000+0.248_R090E075ONA,C228982A,31-2-024,000+0.000,000+0.248,R090E075ONA,3,0.248,269.6,66.86080000000001,,MINERAL,,,,0.6,449.33333333333337,111.43466666666669,2456.9111830538377
C006716_000+0.277_000+0.351_U-6716,C006716A,15-7C-084,000+0.277,000+0.351,U-6716,8,0.074,2409.4,178.2956,,FLATHEAD,4TH ST W/E,,Urban,1.6,1505.875,111.43475,2456.9093457221393
C229104_000+0.000_000+0.299_R090E362OFA,C229104A,49-3-020,000+0.000,000+0.299,R090E362OFA,1,0.299,74.6,22.3054,,SWEET GRASS,,,,0.2,372.99999999999994,111.52699999999999,2454.8771034207875
