YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU
2023.0,L-40-1,A,26.831,C011002,A,C011002A,025+0.701,052+0.532,25.701,52.532,060572P,,,A,94.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,RMA_RMC_345,0.0,11.0,155.0,0.0,0.0,0.0,0.0,,2.0,,PRAIRIE,,ENT L-40-1A,0.0,0.0
2023.0,L-11-2,A,25.701,C011002,A,C011002A,000+0.000,025+0.701,0.0,25.701,060572P,,,A,94.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,RMA_RMC_345,0.0,11.0,155.0,0.0,0.0,0.0,0.0,,2.0,,DAWSON,JCT N-57,ENT L-11-2A/,0.0,0.0
2023.0,L-1-1,A,23.762,C011001,A,C011001A,000+0.000,023+0.762,0.0,23.762,01-4-012,,,A,86.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,RMA_RMC_12,0.0,14.0,147.0,0.0,0.0,0.0,0.0,,2.0,,BEAVERHEAD,JCT S-278,ENT L-1-1A/,0.0,0.0
2023.0,L-10-480,A,2.003,C010480,A,C010480A,000+0.000,002+0.003,0.0,2.003,080302V,,,E,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,RMA_RMC_345,0.0,11.0,155.0,0.0,0.0,0.0,0.0,,2.0,,DANIELS,JCT MADOC RD,ENT L-10-480A/,0.0,0.0
2023.0,L-10-478,A,0.533,C010478,A,C010478A,000+0.000,000+0.533,0.0,0.533,080301N,,,E,10.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,RMA_RMC_345,0.0,11.0,155.0,0.0,0.0,0.0,0.0,,2.0,,DANIELS,JCT MADOC RD,ENT L-10-478A/,0.0,0.0
2023.0,L-10-451,A,1.481,C010451,A,C010451A,000+0.000,001+0.481,0.0,1.481,080294F,,,E,8.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,RMA_RMC_345,0.0,11.0,155.0,0.0,0.0,0.0,0.0,,2.0,,DANIELS,JCT P-22,ENT L-10-451A/,0.0,0.0
2023.0,L-10-449,A,6.504,C010449,A,C010449A,000+0.000,006+0.504,0.0,6.504,080297B,,,E,4.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,RMA_RMC_345,0.0,11.0,155.0,0.0,0.0,0.0,0.0,,2.0,,DANIELS,JCT P-22,ENT L-10-449A/,0.0,0.0
2023.0,L-10-448,A,2.468,C010448,A,C010448A,000+0.000,002+0.468,0.0,2.468,080299P,,,E,12.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,RMA_RMC_345,0.0,11.0,155.0,0.0,0.0,0.0,0.0,,2.0,,DANIELS,JCT P-22,ENT L-10-448A/,0.0,0.0
2023.0,L-10-447,A,2.745,C010447,A,C010447A,003+0.783,006+0.528,3.783,6.528,080303C,,,E,4.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,RMA_RMC_345,0.0,11.0,155.0,0.0,0.0,0.0,0.0,,2.0,,DANIELS,,,0.0,0.0
2023.0,L-10-447,A,1.767,C010447,A,C010447A,002+0.016,003+0.783,2.016,3.783,080306X,,,E,2.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,RMA_RMC_345,0.0,11.0,155.0,0.0,0.0,0.0,0.0,,2.0,,DANIELS,,,0.0,0.0
