CORRIDOR,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,CRASHES,CARS_PER_ACC,MILES_PER_ACC
C056125,5.295,3.0,15.885,103963G,YELLOWSTONE,103963G,000+0.000,005+0.295,L-56-125,1,3.0,15.885
C029092,3.908,3.0,11.724,29-6-005,MADISON,29-6-005,000+0.802,004+0.710,L-29-92,1,3.0,11.724
C003016,0.058,3.0,0.17400000000000002,059394J,BLAINE,059394J,000+0.706,000+0.764,L-3-16,1,3.0,0.17400000000000002
C027001,87.615,19.0,1664.685,27-2-019,LINCOLN,27-2-019,000+0.000,087+0.615,L-27-1,6,3.1666666666666665,277.4475
C014346,0.901,4.0,3.604,398671A,FERGUS,398671A,001+0.600,002+0.501,L-14-346,1,4.0,3.604
C051013,13.266,7.0,92.862,088068J,TOOLE,088068J,000+0.000,013+0.266,L-51-13,1,7.0,92.862
C229331,0.357,11.0,3.9269999999999996,56-4-038,YELLOWSTONE,56-4-038,000+0.000,000+0.357,R090W456OFA,1,11.0,3.9269999999999996
C014302,12.057,24.0,289.368,14-3-019,FERGUS,14-3-019,000+0.000,012+0.057,L-14-302,2,12.0,144.684
C047529,3.114,37.0,115.21799999999999,104197T,SILVER BOW,104197T,000+0.000,003+0.114,L-47-529,3,12.333333333333334,38.406
C046414,6.087,13.0,79.131,080235D,SHERIDAN,080235D,000+0.000,006+0.087,L-46-414,1,13.0,79.131
C015202,8.84,26.0,229.84,15-3-003,FLATHEAD,15-3-003,000+0.000,008+0.840,L-15-202,2,13.0,114.92
C023001,35.127,40.0,1405.0800000000002,23-3-001,JUDITH BASIN,23-3-001,000+0.000,035+0.127,L-23-1,3,13.333333333333334,468.36000000000007
C049014,5.948,15.0,89.22,49-2-001,SWEET GRASS,49-2-001,000+0.000,005+0.948,L-49-14,1,15.0,89.22
C002002,15.454,35.0,540.89,02-2-002,TREASURE,02-2-002,012+0.238,027+0.692,L-52-4,2,17.5,270.445
C023311,8.19,18.0,147.42,088612S,JUDITH BASIN,088612S,000+0.000,008+0.190,L-23-311,1,18.0,147.42
C025005,13.182,37.0,487.73400000000004,25-7-002,LEWIS AND CLARK,25-7-002,000+0.000,013+0.182,L-25-5,2,18.5,243.86700000000002
C041008,2.529,37.0,93.573,41-2A-028,RAVALLI,41-2A-028,002+0.144,004+0.673,L-41-8,2,18.5,46.7865
C003572,1.518,93.0,141.174,088527C,CASCADE,088527C,000+0.000,001+0.518,L-7-2865,5,18.6,28.2348
C229315,0.344,19.0,6.536,34-2-020,PARK,34-2-020,000+0.000,000+0.344,R090W350ONA,1,19.0,6.536
C000261,8.798,77.0,677.446,55-1-006,WIBAUX,55-1-006,012+0.155,020+0.544,S-261,4,19.25,169.3615
C029103,12.849,79.0,1015.071,29-3-009,MADISON,29-3-009,000+0.000,012+0.849,L-29-103,4,19.75,253.76775
C003202,31.815,40.0,1272.6000000000001,08-5-036,CHOUTEAU,08-5-036,000+0.000,031+0.815,L-8-201,2,20.0,636.3000000000001
C032004,10.903,41.0,447.023,32-3-016,MISSOULA,32-3-016,000+0.000,010+0.903,L-32-4,2,20.5,223.5115
C011109,14.623,21.0,307.08299999999997,11-5A-061,DAWSON,11-5A-061,006+0.939,021+0.561,L-11-109,1,21.0,307.08299999999997
C228456,0.377,22.0,8.294,37-1-026,PONDERA,37-1-026,000+0.000,000+0.377,R015S352OFA,1,22.0,8.294
C007556,18.648,67.0,1249.416,07-3-019,CASCADE,07-3-019,000+0.000,018+0.648,L-7-556,3,22.333333333333332,416.472
C220290,6.321,23.0,145.38299999999998,090390K,POWELL,090390K,000+0.000,006+0.321,L-39-9,1,23.0,145.38299999999998
C046410,13.209,24.0,317.01599999999996,080225X,SHERIDAN,080225X,000+0.000,013+0.209,L-46-410,1,24.0,317.01599999999996
C027004,4.437,24.0,106.488,27-3-022,LINCOLN,27-3-022,011+0.298,015+0.734,L-27-4,1,24.0,106.488
C000014,31.613,144.0,4552.272,44-2-001,ROSEBUD,44-2-001,220+0.774,252+0.352,P-14,6,24.0,758.712
C013159,15.287,24.0,366.88800000000003,059438G,BLAINE,059438G,000+0.000,015+0.287,L-3-159,1,24.0,366.88800000000003
C015600,12.955,98.0,1269.59,15-6-008,FLATHEAD,15-6-008,000+0.000,012+0.955,L-15-600,4,24.5,317.3975
