CORRIDOR,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,CRASHES,CARS_PER_ACC,MILES_PER_ACC
C229047,0.17116552,11,1.8828207199999998,34-2-036,PARK,34-2-036,000+0.000,000+0.171,R090E352OFA,1,11.0,1.8828207199999998
C229240,0.03676846,69,2.5370237400000004,22-3-033,SILVER BOW,22-3-033,000+0.268,000+0.305,R090W233ONA,1,69.0,2.5370237400000004
C001027,0.00383339,6389,24.49152871,56-4A-275,YELLOWSTONE,56-4A-275,002+0.352,002+0.356,U-1027,8,798.625,3.06144108875
C229226,0.00434944,2172,9.44698368,32-3-081,MISSOULA,32-3-081,000+0.000,000+0.004,R090W105ONA,3,724.0,3.14899456
C003001,0.03971875,83,3.29665625,03-3-035,BLAINE,03-3-035,000+0.000,000+0.040,L-3-1,1,83.0,3.29665625
C008105,0.00277564,10933,30.34607212,32-3A-176,MISSOULA,32-3A-176,000+0.990,000+0.993,U-8105,7,1561.857142857143,4.33515316
C229062,0.20279891,95,19.26589645,16-3-058,GALLATIN,16-3-058,000+0.000,000+0.203,R090E319ONA,4,23.75,4.8164741125
C228240,0.00393726,2594,10.21325244,25-7-028,LEWIS AND CLARK,25-7-028,000+0.329,000+0.333,R015N192OFA,2,1297.0,5.10662622
C005807,0.00587992,6332,37.23165344,25-7C-044,LEWIS AND CLARK,25-7C-044,000+0.413,000+0.418,U-5807,7,904.5714285714286,5.318807634285714
C229140,0.24752872,22,5.44563184,31-1-055,MINERAL,31-1-055,000+0.000,000+0.248,R090W030ONA,1,22.0,5.44563184
C228593,0.26324261,21,5.52809481,09-2-024,CUSTER,09-2-024,000+0.000,000+0.263,R094W128OFA,1,21.0,5.52809481
C228403,0.20810839,27,5.61892653,25-7-019,LEWIS AND CLARK,25-7-019,000+0.000,000+0.208,R015S216OFA,1,27.0,5.61892653
C000426,6.5297072,1,6.5297072,14-6-033,FERGUS,14-6-033,016+0.914,023+0.420,S-426,1,1.0,6.5297072
C005802,0.00356227,16592,59.10518384,25-7C-028,LEWIS AND CLARK,25-7C-028,001+0.591,001+0.595,U-5802,9,1843.5555555555557,6.5672426488888895
C064415,0.13673647,115,15.72469405,45-4-016,SANDERS,45-4-016,000+0.000,000+0.137,L-45-787,2,57.5,7.862347025
C228634,0.25818397,31,8.00370307,55-2-014,WIBAUX,55-2-014,000+0.000,000+0.258,R094W248OFA,1,31.0,8.00370307
C016412,0.91680722,9,8.25126498,16-1-051,GALLATIN,16-1-051,000+0.000,000+0.917,L-16-412,1,9.0,8.25126498
C228404,0.28538407,29,8.27613803,25-7-021,LEWIS AND CLARK,25-7-021,000+0.000,000+0.285,R015S216ONA,1,29.0,8.27613803
C228326,0.32047886,26,8.33245036,01-8-022,BEAVERHEAD,01-8-022,000+0.000,000+0.320,R015S000ONA,1,26.0,8.33245036
C229173,0.00358886,2378,8.53430908,32-3-059,MISSOULA,32-3-059,000+0.000,000+0.004,R090W096ONA,1,2378.0,8.53430908
C228369,0.00426171,2209,9.41411739,47-1-038,SILVER BOW,47-1-038,000+0.246,000+0.250,R015S126OFA,1,2209.0,9.41411739
C229205,0.27407203,70,19.1850421,39-3-058,POWELL,39-3-058,000+0.000,000+0.274,R090W166ONA,2,35.0,9.59252105
C025139,1.2211413,8,9.7691304,25-7B-061,LEWIS AND CLARK,25-7B-061,000+0.000,001+0.221,L-25-139,1,8.0,9.7691304
C228356,0.24925818,40,9.9703272,47-2-012,SILVER BOW,47-2-012,000+0.000,000+0.249,R015S099OFA,1,40.0,9.9703272
C001027,0.00775849,3886,30.14949214,56-4A-276,YELLOWSTONE,56-4A-276,002+0.614,002+0.621,U-1027,3,1295.3333333333333,10.049830713333334
C228988,0.2707106,77,20.8447162,12-1-019,DEER LODGE,12-1-019,000+0.000,000+0.271,R090E197OFA,2,38.5,10.4223581
C228935,0.26261912,40,10.5047648,31-1-018,MINERAL,31-1-018,000+0.000,000+0.263,R090E025OFA,1,40.0,10.5047648
C229207,0.23514432,48,11.28692736,39-3-060,POWELL,39-3-060,000+0.000,000+0.235,R090W162ONA,1,48.0,11.28692736
C228415,0.22915108,51,11.686705080000001,07-3-022,CASCADE,07-3-022,000+0.000,000+0.229,R015S244ONA,1,51.0,11.686705080000001
C228418,0.29585974,42,12.42610908,07-3-043,CASCADE,07-3-043,000+0.000,000+0.296,R015S250OFA,1,42.0,12.42610908
C228262,0.29036503,46,13.35679138,07-3-023,CASCADE,07-3-023,000+0.000,000+0.290,R015N244OFA,1,46.0,13.35679138
C228951,0.28349131,49,13.89107419,31-1-029,MINERAL,31-1-029,000+0.000,000+0.283,R090E022ONA,1,49.0,13.89107419
C228197,0.23332209,63,14.699291670000001,01-4-028,BEAVERHEAD,01-4-028,000+0.000,000+0.233,R015N085OFA,1,63.0,14.699291670000001
C229003,0.20496823,73,14.96268079,39-3-055,POWELL,39-3-055,000+0.000,000+0.205,R090E166OFA,1,73.0,14.96268079
C229040,0.23119707,65,15.02780955,47-1-041,SILVER BOW,47-1-041,000+0.000,000+0.231,R090E216OFA,1,65.0,15.02780955
C228423,0.33831217,45,15.224047650000001,07-3-031,CASCADE,07-3-031,000+0.000,000+0.338,R015S256ONA,1,45.0,15.224047650000001
C228602,0.4103251,38,15.5923538,09-2-043,CUSTER,09-2-043,000+0.000,000+0.410,R094W148ONA,1,38.0,15.5923538
C003572,1.51807151,85,129.03607835,07-2-079,CASCADE,07-2-079,000+0.000,001+0.518,L-7-2865,8,10.625,16.12950979375
C085577,0.03748088,432,16.191740160000002,25-7C-234,LEWIS AND CLARK,25-7C-234,000+0.000,000+0.037,L-25-3025,1,432.0,16.191740160000002
C228637,0.17500994,101,17.67600394,47-1-019,SILVER BOW,47-1-019,000+0.000,000+0.175,R115E001ONA,1,101.0,17.67600394
C229146,0.22706775,86,19.5278265,31-1-030,MINERAL,31-1-030,000+0.000,000+0.227,R090W022OFA,1,86.0,19.5278265
C229008,0.27255738,73,19.896688740000002,20-1-029,GRANITE,20-1-029,000+0.000,000+0.273,R090E138ONA,1,73.0,19.896688740000002
C229122,0.69069847,30,20.7209541,56-4-039,YELLOWSTONE,56-4-039,000+0.000,000+0.691,R090E456ONA,1,30.0,20.7209541
C228526,0.32993089,64,21.11557696,40-2-025,PRAIRIE,40-2-025,000+0.000,000+0.330,R094E169OFA,1,64.0,21.11557696
C229299,0.2797022,76,21.2573672,48-2-048,STILLWATER,48-2-048,000+0.000,000+0.280,R090W392ONA,1,76.0,21.2573672
C229096,0.31800549,68,21.62437332,49-3-027,SWEET GRASS,49-3-027,000+0.000,000+0.318,R090E377ONA,1,68.0,21.62437332
C001011,0.00500277,4906,24.543589620000002,56-4A-340,YELLOWSTONE,56-4A-340,002+0.699,002+0.704,U-1011,1,4906.0,24.543589620000002
C000047,0.10623086,492,52.265583119999995,12-1-029,DEER LODGE,12-1-029,005+0.884,005+0.990,P-47,2,246.0,26.132791559999998
C220018,1.07235356,25,26.808839000000003,01-6-032,BEAVERHEAD,01-6-032,000+0.742,001+0.814,L-1-278,1,25.0,26.808839000000003
C000379,1.00927688,27,27.25047576,08-4-006,TETON,08-4-006,014+0.018,015+0.026,S-379,1,27.0,27.25047576
C000503,0.01321231,2115,27.94403565,15-7B-069,FLATHEAD,15-7B-069,011+0.876,011+0.889,U-6730,1,2115.0,27.94403565
C000007,0.0890238,2513,223.7168094,32-3A-324,MISSOULA,32-3A-324,094+0.621,095+0.003,X-32007,8,314.125,27.964601175
C003556,0.40972004,365,149.5478146,07-2A-161,CASCADE,07-2A-161,000+0.570,000+0.979,L-7-2856,5,73.0,29.909562920000003
C229329,0.27850202,108,30.078218160000002,56-4-083,YELLOWSTONE,56-4-083,000+0.000,000+0.279,R090W462ONA,1,108.0,30.078218160000002
C003565,0.25739595,1190,306.3011805,07-2A-284,CASCADE,07-2A-284,000+0.000,000+0.257,L-7-2862,10,119.0,30.63011805
C228531,0.2951799,105,30.993889499999998,40-2-020,PRAIRIE,40-2-020,000+0.000,000+0.295,R094E185ONA,1,105.0,30.993889499999998
C005208,0.07672465,1624,124.6008316,07-2A-075,CASCADE,07-2A-075,000+0.619,000+0.696,N-124,4,406.0,31.1502079
C016192,0.38602257,90,34.7420313,16-3-092,GALLATIN,16-3-092,000+0.000,000+0.386,L-16-192,1,90.0,34.7420313
C002798,0.18233847,580,105.7563126,01-4A-014,BEAVERHEAD,01-4A-014,000+0.351,000+0.533,L-1-7371,3,193.33333333333334,35.2521042
C001025,0.23302073,782,182.22221086000002,56-4A-207,YELLOWSTONE,56-4A-207,000+0.000,000+0.233,U-1025,5,156.4,36.444442172
C164819,0.1269297,873,110.80962810000001,32-3A-091,MISSOULA,32-3A-091,000+0.000,000+0.127,L-32-1072,3,291.0,36.936542700000004
C008110,0.09274434,1606,148.94741004,32-3A-217,MISSOULA,32-3A-217,000+0.371,000+0.464,U-8110,4,401.5,37.23685251
C002302,3.38573475,23,77.87189925,05-3-039,CARBON,05-3-039,013+0.721,017+0.106,L-5-303,2,11.5,38.935949625
C229120,0.31890685,125,39.86335625,56-4-085,YELLOWSTONE,56-4-085,000+0.000,000+0.319,R090E462ONA,1,125.0,39.86335625
C033110,10.08655787,4,40.34623148,33-3-009,MUSSELSHELL,33-3-009,000+0.000,010+0.087,L-33-110,1,4.0,40.34623148
C066174,0.33066069,253,83.65715456999999,15-7C-036,FLATHEAD,15-7C-036,000+0.000,000+0.331,L-15-6608,2,126.5,41.828577284999994
C005632,0.46221241,92,42.523541720000004,34-2A-062,PARK,34-2A-062,000+0.000,000+0.462,L-34-757,1,92.0,42.523541720000004
C041008,2.52903709,34,85.98726106000001,41-2A-028,RAVALLI,41-2A-028,002+0.144,004+0.673,L-41-8,2,17.0,42.993630530000004
C003557,0.65262585,330,215.36653049999998,07-2A-211,CASCADE,07-2A-211,000+0.246,000+0.898,L-7-2857,5,66.0,43.073306099999996
C004309,0.46881136,463,217.05965968,25-7C-106,LEWIS AND CLARK,25-7C-106,000+0.000,000+0.469,L-25-2683,5,92.6,43.411931936
C228411,0.3744398,116,43.4350168,25-5-026,LEWIS AND CLARK,25-5-026,000+0.000,000+0.374,R015S234ONA,1,116.0,43.4350168
C229212,0.26540125,165,43.791206249999995,20-1-031,GRANITE,20-1-031,000+0.000,000+0.265,R090W138ONA,1,165.0,43.791206249999995
C229024,0.22518817,392,88.27376264,16-1-041,GALLATIN,16-1-041,000+0.000,000+0.225,R090E278OFA,2,196.0,44.13688132
