CORRIDOR,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,CRASHES,CARS_PER_ACC,MILES_PER_ACC
C003572,1.518,101.0,153.318,088527C,CASCADE,088527C,000+0.000,001+0.518,L-7-2865,41,2.4634146341463414,3.7394634146341468
C228963,0.006,2512.5,15.075000000000001,32-3-083,MISSOULA,32-3-083,000+0.286,000+0.292,R090E105OFA,4,628.125,3.7687500000000003
C229062,0.20279891,95.0,19.26589645,16-3-058,GALLATIN,16-3-058,000+0.000,000+0.203,R090E319ONA,5,19.0,3.85317929
C000007,0.089,1255.6666666666667,111.75433333333334,32-3A-324,MISSOULA,32-3A-324,094+0.621,095+0.003,X-32007,28,44.845238095238095,3.9912261904761905
C001011,0.005,3225.0,16.125,56-4A-340,YELLOWSTONE,56-4A-340,002+0.699,002+0.704,U-1011,4,806.25,4.03125
C229091,0.201,41.0,8.241,48-2-043,STILLWATER,48-2-043,000+0.000,000+0.201,R090E396OFA,2,20.5,4.1205
C016412,0.91680722,9.0,8.25126498,16-1-051,GALLATIN,16-1-051,000+0.000,000+0.917,L-16-412,2,4.5,4.12563249
C223345,0.139,31.666666666666668,4.401666666666667,091214R,SANDERS,091214R,000+0.000,000+0.139,L-45-422,1,31.666666666666668,4.401666666666667
C023012,4.445,2.0,8.89,088384G,JUDITH BASIN,088384G,000+0.000,004+0.445,L-23-12,2,1.0,4.445
C006568,0.197,510.0,100.47,32-3A-131,MISSOULA,32-3A-131,000+0.983,001+0.180,L-32-4327,22,23.181818181818183,4.566818181818181
C060359,0.92,5.0,4.6000000000000005,059772C,HILL,059772C,000+0.000,000+0.920,L-21-689,1,5.0,4.6000000000000005
C228951,0.283,51.75,14.645249999999999,31-1-029,MINERAL,31-1-029,000+0.000,000+0.283,R090E022ONA,3,17.25,4.881749999999999
C229003,0.20496823,73.0,14.96268079,39-3-055,POWELL,39-3-055,000+0.000,000+0.205,R090E166OFA,3,24.333333333333332,4.987560263333333
C228240,0.00393726,2594.0,10.21325244,25-7-028,LEWIS AND CLARK,25-7-028,000+0.329,000+0.333,R015N192OFA,2,1297.0,5.10662622
C228372,0.003,1707.0,5.121,47-1-030,SILVER BOW,47-1-030,000+0.000,000+0.003,R015S127ONA,1,1707.0,5.121
C064415,0.13673647,115.0,15.72469405,45-4-016,SANDERS,45-4-016,000+0.000,000+0.137,L-45-787,3,38.333333333333336,5.241564683333333
C229040,0.231,69.25,15.99675,47-1-041,SILVER BOW,47-1-041,000+0.000,000+0.231,R090E216OFA,3,23.083333333333332,5.33225
