CORRIDOR,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,CRASHES
C000001,4.483,2793,12521.018999999998,03-3-001,BLAINE,03-3-001,396+0.290,400+0.759,N-1,4
C000001,2.872,2855,8199.56,03-3-002,BLAINE,03-3-002,400+0.759,403+0.636,N-1,6
C000001,1.398,2589,3619.4219999999996,03-3-003,BLAINE,03-3-003,404+0.408,405+0.837,N-1,1
C000001,7.191,2222,15978.402,03-3-004,BLAINE,03-3-004,405+0.837,413+0.020,N-1,4
C000001,11.07,2126,23534.82,03-4-004,BLAINE,03-4-004,413+0.020,424+0.000,N-1,8
C000001,4.525,3641,16475.525,03-4-008,BLAINE,03-4-008,424+0.000,428+0.541,N-1,1
C000001,7.16,1271,9100.36,03-4-009,BLAINE,03-4-009,428+0.541,436+0.494,N-1,4
C000001,14.349,1095,15712.155,03-4-010,BLAINE,03-4-010,436+0.494,450+0.807,N-1,1
C000001,9.924,2193,21763.332,15-4-002,FLATHEAD,15-4-002,153+0.258,163+0.188,N-1,5
C000001,2.174,7971,17328.953999999998,15-4A-002,FLATHEAD,15-4A-002,138+0.232,140+0.360,N-1,6
C000001,3.104,8429,26163.616,15-4A-003,FLATHEAD,15-4A-003,140+0.360,143+0.381,N-1,15
C000001,0.95,10208,9697.6,15-4A-004,FLATHEAD,15-4A-004,143+0.381,144+0.477,N-1,5
C000001,2.369,7990,18928.31,15-4A-005,FLATHEAD,15-4A-005,144+0.477,146+0.840,N-1,11
C000001,3.303,6954,22969.061999999998,15-4A-006,FLATHEAD,15-4A-006,146+0.840,150+0.456,N-1,3
C000001,1.389,21150,29377.35,15-4A-012,FLATHEAD,15-4A-012,133+0.928,135+0.287,N-1,17
C000001,0.845,15789,13341.705,15-4A-013,FLATHEAD,15-4A-013,137+0.417,138+0.232,N-1,7
C000001,2.006,13521,27123.125999999997,15-4A-014,FLATHEAD,15-4A-014,131+0.921,133+0.928,N-1,23
C000001,0.978,24458,23919.924,15-4A-028,FLATHEAD,15-4A-028,135+0.287,136+0.270,N-1,12
C000001,0.131,21801,2855.931,15-4A-029,FLATHEAD,15-4A-029,136+0.270,136+0.401,N-1,2
C000001,0.246,21393,5262.678,15-4A-030,FLATHEAD,15-4A-030,136+0.401,136+0.647,N-1,5
C000001,0.756,18522,14002.632,15-4A-031,FLATHEAD,15-4A-031,136+0.647,137+0.417,N-1,6
C000001,3.725,15167,56497.075000000004,15-4A-040,FLATHEAD,15-4A-040,125+0.636,129+0.409,N-1,24
C000001,2.536,14067,35673.912000000004,15-4A-041,FLATHEAD,15-4A-041,129+0.409,131+0.921,N-1,13
C000001,16.653,2001,33322.653,15-5-001,FLATHEAD,15-5-001,163+0.188,179+0.859,N-1,7
C000001,15.079,1771,26704.909,15-5-002,FLATHEAD,15-5-002,179+0.859,195+0.729,N-1,14
C000001,1.985,1983,3936.255,15-5-003,FLATHEAD,15-5-003,195+0.729,197+0.721,N-1,1
C000001,5.776,1482,8560.032,15-6-001,FLATHEAD,15-6-001,075+0.478,081+0.332,N-1,1
C000001,5.776,1482,8560.032,15-6-001,LINCOLN,15-6-001,075+0.478,081+0.332,N-1,3
C000001,19.33,2167,41888.10999999999,15-6-002,FLATHEAD,15-6-002,081+0.332,100+0.606,N-1,21
C000001,11.234,3205,36004.97,15-6-003,FLATHEAD,15-6-003,100+0.606,111+0.859,N-1,42
C000001,3.514,6132,21547.847999999998,15-7-001,FLATHEAD,15-7-001,111+0.859,115+0.324,N-1,9
