CORRIDOR,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,CRASHES
C000001,4.474,2655.0,11878.470000000001,03-3-001,BLAINE,03-3-001,396+0.289,400+0.757,N-1,3
C000001,1.395,2335.0,3257.325,03-3-003,BLAINE,03-3-003,404+0.405,405+0.835,N-1,1
C000001,7.173,2141.0,15357.393,03-3-004,BLAINE,03-3-004,405+0.835,413+0.019,N-1,9
C000001,0.278,2735.0,760.33,03-3-013,BLAINE,03-3-013,403+0.633,403+0.910,N-1,1
C000001,0.531,2919.0,1549.989,03-3-014,BLAINE,03-3-014,403+0.910,404+0.405,N-1,2
C000001,11.041,1943.0,21452.663,03-4-004,BLAINE,03-4-004,413+0.019,423+1.003,N-1,5
C000001,1.601,3311.0,5300.911,03-4-008,BLAINE,03-4-008,423+1.003,425+0.605,N-1,1
C000001,2.914,3311.0,9648.254,03-4-008,BLAINE,03-4-008,425+0.605,428+0.540,N-1,2
C000001,7.142,1566.0,11184.372000000001,03-4-009,BLAINE,03-4-009,428+0.540,436+0.492,N-1,2
C000001,9.776,1327.0,12972.752,03-4-010,BLAINE,03-4-010,436+0.492,446+0.272,N-1,3
C000001,4.538,1327.0,6021.926,03-4-010,PHILLIPS,03-4-010,446+0.272,450+0.804,N-1,1
C000001,1.554,7227.0,11230.758,15-4-001,FLATHEAD,15-4-001,151+0.683,153+0.255,N-1,5
C000001,9.91,2491.0,24685.81,15-4-002,FLATHEAD,15-4-002,153+0.255,163+0.186,N-1,8
C000001,2.198,8735.0,19199.53,15-4A-003,FLATHEAD,15-4A-003,140+0.507,142+0.527,N-1,14
C000001,0.115,8735.0,1004.5250000000001,15-4A-003,FLATHEAD,15-4A-003,142+0.527,142+0.642,N-1,1
C000001,0.773,8735.0,6752.155,15-4A-003,FLATHEAD,15-4A-003,142+0.642,143+0.380,N-1,2
C000001,0.951,8640.0,8216.64,15-4A-004,FLATHEAD,15-4A-004,143+0.380,144+0.476,N-1,3
C000001,2.364,9623.0,22748.771999999997,15-4A-005,FLATHEAD,15-4A-005,144+0.476,146+0.837,N-1,11
C000001,0.738,7148.0,5275.224,15-4A-006,FLATHEAD,15-4A-006,147+0.033,147+0.771,N-1,3
C000001,1.369,7148.0,9785.612,15-4A-006,FLATHEAD,15-4A-006,147+0.771,149+0.475,N-1,2
C000001,0.253,7148.0,1808.444,15-4A-006,FLATHEAD,15-4A-006,149+0.475,149+0.728,N-1,1
C000001,0.435,7148.0,3109.38,15-4A-006,FLATHEAD,15-4A-006,149+0.728,150+0.149,N-1,1
C000001,1.0,26381.0,26381.0,15-4A-012,FLATHEAD,15-4A-012,133+0.919,134+0.887,N-1,10
C000001,0.388,26381.0,10235.828,15-4A-012,FLATHEAD,15-4A-012,134+0.887,135+0.285,N-1,1
C000001,0.847,13388.0,11339.636,15-4A-013,FLATHEAD,15-4A-013,137+0.413,138+0.231,N-1,3
C000001,1.995,15527.0,30976.365,15-4A-014,FLATHEAD,15-4A-014,131+0.918,133+0.919,N-1,22
C000001,0.755,22220.0,16776.1,15-4A-031,FLATHEAD,15-4A-031,136+0.641,137+0.413,N-1,3
C000001,3.714,20114.0,74703.396,15-4A-040,FLATHEAD,15-4A-040,125+0.635,129+0.407,N-1,16
C000001,2.529,21615.0,54664.335,15-4A-041,FLATHEAD,15-4A-041,129+0.407,131+0.918,N-1,12
C000001,10.842,2225.0,24123.45,15-5-001,FLATHEAD,15-5-001,163+0.186,174+0.021,N-1,8
C000001,5.166,2225.0,11494.35,15-5-001,FLATHEAD,15-5-001,174+0.646,179+0.857,N-1,2
C000001,15.062,2025.0,30500.55,15-5-002,FLATHEAD,15-5-002,179+0.857,195+0.727,N-1,5
C000001,1.599,1739.0,2780.661,15-6-001,LINCOLN,15-6-001,075+0.476,077+0.076,N-1,1
C000001,0.166,1739.0,288.67400000000004,15-6-001,LINCOLN,15-6-001,077+0.076,077+0.242,N-1,1
C000001,3.072,1739.0,5342.2080000000005,15-6-001,LINCOLN,15-6-001,077+0.242,080+0.304,N-1,1
C000001,0.93,1739.0,1617.27,15-6-001,FLATHEAD,15-6-001,080+0.304,081+0.331,N-1,2
C000001,19.295,2170.0,41870.15,15-6-002,FLATHEAD,15-6-002,081+0.331,100+0.603,N-1,22
C000001,11.215,3610.0,40486.15,15-6-003,FLATHEAD,15-6-003,100+0.603,111+0.856,N-1,50
C000001,3.504,7127.0,24973.008,15-7-001,FLATHEAD,15-7-001,111+0.856,115+0.321,N-1,14
C000001,0.38,23647.0,8985.86,15-7B-005,FLATHEAD,15-7B-005,121+0.744,122+0.115,N-1,10
C000001,0.432,25759.0,11127.887999999999,15-7B-006,FLATHEAD,15-7B-006,122+0.492,122+0.924,N-1,25
C000001,1.019,19652.0,20025.388,15-7B-036,FLATHEAD,15-7B-036,124+0.603,125+0.635,N-1,15
C000001,0.314,19040.0,5978.56,15-7B-053,FLATHEAD,15-7B-053,122+0.924,123+0.117,N-1,12
C000001,0.499,20176.0,10067.824,15-7B-054,FLATHEAD,15-7B-054,123+0.117,123+0.616,N-1,11
C000001,0.436,19558.0,8527.288,15-7B-055,FLATHEAD,15-7B-055,123+0.616,124+0.035,N-1,6
C000001,0.567,18782.0,10649.393999999998,15-7B-056,FLATHEAD,15-7B-056,124+0.035,124+0.603,N-1,13
C000001,0.377,27360.0,10314.72,15-7B-088,FLATHEAD,15-7B-088,122+0.115,122+0.492,N-1,9
C000001,0.488,16207.0,7909.016,15-7C-001,FLATHEAD,15-7C-001,119+0.638,120+0.112,N-1,7
C000001,0.369,16650.0,6143.85,15-7C-002,FLATHEAD,15-7C-002,120+0.112,120+0.482,N-1,2
C000001,0.149,16909.0,2519.441,15-7C-004,FLATHEAD,15-7C-004,120+0.687,120+0.835,N-1,15
C000001,0.069,22425.0,1547.325,15-7C-005,FLATHEAD,15-7C-005,120+0.835,120+0.904,N-1,1
C000001,0.14,22425.0,3139.5000000000005,15-7C-005,FLATHEAD,15-7C-005,120+0.904,121+0.134,N-1,4
C000001,0.068,22092.0,1502.256,15-7C-006,FLATHEAD,15-7C-006,121+0.134,121+0.202,N-1,1
