CORRIDOR,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,CRASHES
C000001,4.474,2343,10482.582,03-3-001,BLAINE,03-3-001,396+0.289,400+0.757,N-1,21
C000001,2.864,2439,6985.295999999999,03-3-002,BLAINE,03-3-002,400+0.757,403+0.633,N-1,19
C000001,1.395,2225,3103.875,03-3-003,BLAINE,03-3-003,404+0.405,405+0.835,N-1,8
C000001,7.173,2065,14812.245,03-3-004,BLAINE,03-3-004,405+0.835,413+0.019,N-1,43
C000001,0.278,2528,702.7840000000001,03-3-013,BLAINE,03-3-013,403+0.633,403+0.910,N-1,3
C000001,0.531,2739,1454.409,03-3-014,BLAINE,03-3-014,403+0.910,404+0.405,N-1,4
C000001,11.041,1859,20525.219,03-4-004,BLAINE,03-4-004,413+0.019,423+1.003,N-1,31
C000001,1.601,3683,5896.483,03-4-008,BLAINE,03-4-008,423+1.003,425+0.605,N-1,5
C000001,2.914,3683,10732.262,03-4-008,BLAINE,03-4-008,425+0.605,428+0.540,N-1,8
C000001,7.142,1718,12269.956,03-4-009,BLAINE,03-4-009,428+0.540,436+0.492,N-1,7
C000001,9.776,1359,13285.583999999999,03-4-010,BLAINE,03-4-010,436+0.492,446+0.272,N-1,8
C000001,4.538,1359,6167.142000000001,03-4-010,PHILLIPS,03-4-010,446+0.272,450+0.804,N-1,4
C000001,0.803,6564,5270.892000000001,15-4-001,FLATHEAD,15-4-001,150+0.456,151+0.277,N-1,2
C000001,0.406,6564,2664.9840000000004,15-4-001,FLATHEAD,15-4-001,151+0.277,151+0.683,N-1,2
C000001,1.554,6564,10200.456,15-4-001,FLATHEAD,15-4-001,151+0.683,153+0.255,N-1,14
C000001,9.91,2533,25102.03,15-4-002,FLATHEAD,15-4-002,153+0.255,163+0.186,N-1,39
C000001,2.198,8883,19524.834,15-4A-003,FLATHEAD,15-4A-003,140+0.507,142+0.527,N-1,65
C000001,0.115,8883,1021.5450000000001,15-4A-003,FLATHEAD,15-4A-003,142+0.527,142+0.642,N-1,5
C000001,0.773,8883,6866.559,15-4A-003,FLATHEAD,15-4A-003,142+0.642,143+0.380,N-1,17
C000001,0.951,8787,8356.437,15-4A-004,FLATHEAD,15-4A-004,143+0.380,144+0.476,N-1,19
C000001,2.364,9787,23136.467999999997,15-4A-005,FLATHEAD,15-4A-005,144+0.476,146+0.837,N-1,44
C000001,0.197,6979,1374.863,15-4A-006,FLATHEAD,15-4A-006,146+0.837,147+0.033,N-1,1
C000001,0.738,6979,5150.5019999999995,15-4A-006,FLATHEAD,15-4A-006,147+0.033,147+0.771,N-1,8
C000001,1.369,6979,9554.251,15-4A-006,FLATHEAD,15-4A-006,147+0.771,149+0.475,N-1,8
C000001,0.253,6979,1765.6870000000001,15-4A-006,FLATHEAD,15-4A-006,149+0.475,149+0.728,N-1,2
C000001,0.435,6979,3035.865,15-4A-006,FLATHEAD,15-4A-006,149+0.728,150+0.149,N-1,3
C000001,0.307,6979,2142.553,15-4A-006,FLATHEAD,15-4A-006,150+0.149,150+0.456,N-1,2
C000001,1.0,26223,26223.0,15-4A-012,FLATHEAD,15-4A-012,133+0.919,134+0.887,N-1,50
C000001,0.388,26223,10174.524,15-4A-012,FLATHEAD,15-4A-012,134+0.887,135+0.285,N-1,12
C000001,0.847,13308,11271.876,15-4A-013,FLATHEAD,15-4A-013,137+0.413,138+0.231,N-1,27
C000001,1.995,17532,34976.340000000004,15-4A-014,FLATHEAD,15-4A-014,131+0.918,133+0.919,N-1,91
C000001,0.606,21963,13309.578,15-4A-028,FLATHEAD,15-4A-028,135+0.285,135+0.891,N-1,18
C000001,0.369,21963,8104.347,15-4A-028,FLATHEAD,15-4A-028,135+0.891,136+0.268,N-1,8
C000001,0.131,20175,2642.925,15-4A-029,FLATHEAD,15-4A-029,136+0.268,136+0.398,N-1,3
C000001,0.243,19898,4835.214,15-4A-030,FLATHEAD,15-4A-030,136+0.398,136+0.641,N-1,7
C000001,0.755,22087,16675.685,15-4A-031,FLATHEAD,15-4A-031,136+0.641,137+0.413,N-1,25
C000001,3.714,20129,74759.106,15-4A-040,FLATHEAD,15-4A-040,125+0.635,129+0.407,N-1,111
C000001,2.529,17587,44477.523,15-4A-041,FLATHEAD,15-4A-041,129+0.407,131+0.918,N-1,57
C000001,10.842,2177,23603.034,15-5-001,FLATHEAD,15-5-001,163+0.186,174+0.021,N-1,58
C000001,5.166,2177,11246.382000000001,15-5-001,FLATHEAD,15-5-001,174+0.646,179+0.857,N-1,15
C000001,15.062,2070,31178.34,15-5-002,FLATHEAD,15-5-002,179+0.857,195+0.727,N-1,54
C000001,1.784,1949,3477.016,15-5-003,FLATHEAD,15-5-003,195+0.727,197+0.518,N-1,7
C000001,1.599,1756,2807.844,15-6-001,LINCOLN,15-6-001,075+0.476,077+0.076,N-1,8
C000001,0.166,1756,291.49600000000004,15-6-001,LINCOLN,15-6-001,077+0.076,077+0.242,N-1,2
C000001,3.072,1756,5394.432,15-6-001,LINCOLN,15-6-001,077+0.242,080+0.304,N-1,10
C000001,0.93,1756,1633.0800000000002,15-6-001,FLATHEAD,15-6-001,080+0.304,081+0.331,N-1,7
C000001,19.295,2192,42294.64000000001,15-6-002,FLATHEAD,15-6-002,081+0.331,100+0.603,N-1,114
C000001,11.215,3646,40889.89,15-6-003,FLATHEAD,15-6-003,100+0.603,111+0.856,N-1,233
C000001,3.504,7084,24822.336,15-7-001,FLATHEAD,15-7-001,111+0.856,115+0.321,N-1,64
C000001,0.38,23505,8931.9,15-7B-005,FLATHEAD,15-7B-005,121+0.744,122+0.115,N-1,35
C000001,0.432,25604,11060.928,15-7B-006,FLATHEAD,15-7B-006,122+0.492,122+0.924,N-1,100
