SEGMENT_KEY,CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C000471_000+0.000_001+0.496_S-471,C000471,A,000+0.002,NOT IN CITY LIMITS,SANDERS,JUNE,2020,SAT,158509.52700,389354.86300,47.6048049761787,-115.380184827218,0.002
C000471_000+0.000_001+0.496_S-471,C000471,A,000+0.007,NOT IN CITY LIMITS,SANDERS,SEPTEMBER,2019,TUE,158505.24117,389346.77925,47.6048049761787,-115.380184827218,0.007
C000471_000+0.000_001+0.496_S-471,C000471,A,000+0.085,NOT IN CITY LIMITS,SANDERS,AUGUST,2019,SAT,158472.28842,389225.26123,,,0.085
C000471_000+0.000_001+0.496_S-471,C000471,A,000+0.861,NOT IN CITY LIMITS,SANDERS,OCTOBER,2022,SUN,159059.14551,388176.40135,47.594574052497698,-115.37169733684,0.861
C000471_000+0.000_001+0.496_S-471,C000471,A,000+0.931,NOT IN CITY LIMITS,SANDERS,SEPTEMBER,2021,TUE,159081.09615,388064.16905,47.593581678749402,-115.37129431044301,0.931
C000471_000+0.000_001+0.496_S-471,C000471,A,000+0.938,NOT IN CITY LIMITS,SANDERS,OCTOBER,2021,TUE,159095.14371,388058.34210,47.5935388550757,-115.371102147336,0.938
C000471_000+0.000_001+0.496_S-471,C000471,A,000+1.000,NOT IN CITY LIMITS,SANDERS,SEPTEMBER,2019,TUE,159143.95956,387971.91987,,,1.0
C000471_000+0.000_001+0.496_S-471,C000471,A,001+0.035,NOT IN CITY LIMITS,SANDERS,AUGUST,2022,MON,159180.62392,387923.90910,47.5923900586629,-115.369834245649,1.035
C000471_000+0.000_001+0.496_S-471,C000471,A,001+0.035,NOT IN CITY LIMITS,SANDERS,MAY,2020,TUE,159181.48633,387924.10193,,,1.035
C000471_000+0.000_001+0.496_S-471,C000471,A,001+0.360,NOT IN CITY LIMITS,SANDERS,JANUARY,2022,THU,159614.99702,387638.52064,47.590121503055698,-115.363787883523,1.3599999999999999
C000471_000+0.000_001+0.496_S-471,C000471,A,001+0.367,NOT IN CITY LIMITS,SANDERS,DECEMBER,2021,TUE,159611.77250,387625.02049,47.589998181833103,-115.36381722612499,1.367
C000471_000+0.000_001+0.496_S-471,C000471,A,001+0.423,NOT IN CITY LIMITS,SANDERS,MAY,2021,SUN,159643.01900,387540.53200,47.589675382434898,-115.363467471088,1.423
C000471_001+0.496_003+0.034_S-471,C000471,A,001+0.625,NOT IN CITY LIMITS,SANDERS,DECEMBER,2020,FRI,159578.74367,387224.12419,,,1.625
