YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,U-2505,A,0.153,C002445,A,C002445A,000+0.140,000+0.293,0.14,0.293,15-4A-063,nan,nan,E,2586.75,25.0,nan,6.0,43.0,23.0,12.0,nan,3.0,20.0,11.0,UMA_UC,8198.0,13.0,97.0,20.0,20.0,30.0,30.0,nan,2.0,nan,FLATHEAD,JCT U-2512(2ND AVE W),JCT U-2512(2ND AVE W),0.995,0.498,C002445_000+0.140_000+0.293_U-2505,0.14,0.293,RAILROAD ST,,Urban,4,0,FLATHEAD,,395.77275,0.0,None,None,,RAILROAD ST
2023.0,U-2505,A,0.14,C002445,A,C002445A,000+0.000,000+0.140,0.0,0.14,15-4A-063,nan,nan,E,2586.75,25.0,nan,6.0,43.0,23.0,12.0,nan,3.0,20.0,11.0,UMA_UC,8198.0,13.0,97.0,20.0,20.0,30.0,30.0,nan,2.0,nan,FLATHEAD,JCT U-2501(NUCLEUS AVE/RAILROAD ST),ENT U-2505A/,0.995,0.498,C002445_000+0.000_000+0.140_U-2505,0.0,0.14,RAILROAD ST,,Urban,4,0,FLATHEAD,,362.14500000000004,0.0,None,None,,RAILROAD ST
