CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,site_id_sort_key
C000292A,15-7B-078,000+0.512,003+0.524,S-292,39,3.017,4501.0,13579.517,,FLATHEAD,WHITEFISH STAGE RD,S-292,Urban,7.8,577.0512820512821,1740.963717948718,"['', 15, '-', 7, 'B-', 78, '']"
C000292A,15-4A-052,003+0.524,007+0.098,S-292,21,3.563,1480.0,5273.240000000001,,FLATHEAD,WHITEFISH STAGE RD,S-292,Urban,4.2,352.38095238095235,1255.5333333333335,"['', 15, '-', 4, 'A-', 52, '']"
C000292A,15-4A-047,007+0.098,009+0.303,S-292,13,2.2,1630.3333333333333,3586.7333333333336,,FLATHEAD,WHITEFISH STAGE RD,S-292,Urban,2.6,627.051282051282,1379.5128205128206,"['', 15, '-', 4, 'A-', 47, '']"
