CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,site_id_sort_key
C000036A,45-4-005,000+0.000,011+0.730,P-36,77,11.706,1585.75,18562.7895,,SANDERS,,MT-28,Primary,15.4,102.97077922077922,1205.3759415584414,"['', 45, '-', 4, '-', 5, '']"
C000036A,45-5-001,011+0.730,016+0.329,P-36,25,4.628,1542.25,7137.533,,SANDERS,,MT-28,Primary,5.0,308.45,1427.5066000000002,"['', 45, '-', 5, '-', 1, '']"
C000036A,45-5-002,016+0.329,018+0.982,P-36,43,2.629,2140.25,5626.71725,,SANDERS,,MT-28,Primary,8.6,248.86627906976744,654.2694476744186,"['', 45, '-', 5, '-', 2, '']"
C000036A,45-5-003,018+0.982,025+0.490,P-36,38,6.501,2196.5,14279.4465,,SANDERS,,MT-28,Primary,7.6,289.0131578947369,1878.8745394736843,"['', 45, '-', 5, '-', 3, '']"
C000036A,45-5-004,025+0.490,031+0.178,P-36,25,5.684,1877.0,10668.868,,SANDERS,,MT-28,Primary,5.0,375.4,2133.7736,"['', 45, '-', 5, '-', 4, '']"
C000036A,45-5-004,031+0.178,031+0.674,P-36,0,0.496,1877.0,930.992,,LAKE,,MT-28,Primary,0.0,,,"['', 45, '-', 5, '-', 4, '']"
C000036A,45-5-004,031+0.674,033+0.425,P-36,9,1.749,1877.0,3282.873,,FLATHEAD,,MT-28,Primary,1.8,1042.7777777777778,1823.8183333333336,"['', 45, '-', 5, '-', 4, '']"
C000036A,24-1-001,033+0.425,040+0.243,P-36,26,6.791,1675.0,11374.925,,FLATHEAD,,MT-28,Primary,5.2,322.1153846153846,2187.485576923077,"['', 24, '-', 1, '-', 1, '']"
C000036A,24-1-001,040+0.243,045+0.767,P-36,31,5.552,1793.5,9957.512,,LAKE,,MT-28,Primary,6.2,289.2741935483871,1606.050322580645,"['', 24, '-', 1, '-', 1, '']"
C000036A,24-1-002,045+0.767,046+0.738,P-36,6,0.973,2238.3333333333335,2177.8983333333335,,LAKE,,MT-28,Primary,1.2,1865.277777777778,1814.915277777778,"['', 24, '-', 1, '-', 2, '']"
