CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,site_id_sort_key
C000069A,22-3-016,000+0.000,000+0.151,P-69,6,0.151,3615.4,545.9254,,JEFFERSON,LEGION ST,MT-2/MT-69,Primary,1.2,3012.8333333333335,454.93783333333334,"['', 22, '-', 3, '-', 16, '']"
C000069A,22-3-019,000+0.151,000+0.613,P-69,1,0.461,2692.2,1241.1042,,JEFFERSON,LEGION ST,MT-2/MT-69,Primary,0.2,13460.999999999998,6205.521,"['', 22, '-', 3, '-', 19, '']"
C000069A,22-3-017,000+0.613,004+0.259,P-69,19,3.594,1581.6,5684.270399999999,,JEFFERSON,LEGION ST,MT-2/MT-69,Primary,3.8,416.2105263157895,1495.8606315789473,"['', 22, '-', 3, '-', 17, '']"
C000069A,22-4-003,004+0.259,006+0.174,P-69,9,1.887,1008.0,1902.096,,JEFFERSON,LEGION ST,MT-2/MT-69,Primary,1.8,560.0,1056.72,"['', 22, '-', 4, '-', 3, '']"
C000069A,22-4-004,006+0.174,014+0.440,P-69,22,8.332,1280.2,10666.6264,,JEFFERSON,LEGION ST,MT-2/MT-69,Primary,4.4,290.95454545454544,2424.233272727273,"['', 22, '-', 4, '-', 4, '']"
C000069A,22-2-008,037+0.219,037+0.635,P-69,4,0.416,2312.0,961.792,,JEFFERSON,LEGION ST,MT-2/MT-69,Primary,0.8,2890.0,1202.2399999999998,"['', 22, '-', 2, '-', 8, '']"
C000069A,22-2-009,037+0.635,038+0.171,P-69,2,0.454,3102.25,1408.4215000000002,,JEFFERSON,LEGION ST,MT-2/MT-69,Primary,0.4,7755.625,3521.05375,"['', 22, '-', 2, '-', 9, '']"
C000069A,22-2-010,038+0.171,038+0.398,P-69,3,0.227,4054.8,920.4396,,JEFFERSON,LEGION ST,MT-2/MT-69,Primary,0.6,6758.000000000001,1534.066,"['', 22, '-', 2, '-', 10, '']"
C000069A,22-2-012,038+0.398,038+0.780,P-69,3,0.382,4009.5,1531.629,,JEFFERSON,LEGION ST,MT-2/MT-69,Primary,0.6,6682.5,2552.715,"['', 22, '-', 2, '-', 12, '']"
C000069A,22-2-012,038+0.780,038+0.848,P-69,0,0.068,3949.6666666666665,268.57733333333334,,JEFFERSON,LEGION ST,MT-2/MT-69,Primary,0.0,,,"['', 22, '-', 2, '-', 12, '']"
