YEAR,DEPT_ID,DEPT_RBD,DEPT_MP,DEPT_ENDMP,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,TYC_CNTY,MAPSHEET,STATION,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,PCTPEAK_SU,PCTPEAK_CU,JCT_DESC,LINK_DESC
2020,L-56-2389,A,000+0.504,000+0.931,0.4271512,C001251,A,C001251A,000+0.504,000+0.931,0.50413767,0.93128887,56,4A,293,56-4A-293,,,A,10509,0,0,0,0,0,0,0,0,0,0,UMA_UC,0,10,118,0,0,0,0,,2,,YELLOWSTONE,0.0,0.0,,
2020,X-32007,A,094+0.553,094+0.621,0.06860856,C000007,A,C000007A,094+0.553,094+0.621,93.99376008,94.06236864,32,3A,324,32-3A-324,,,E,2513,12,15,31,40,5,5,6,12,16,2,UMA_UC,7115,10,128,25,25,33,33,,2,,MISSOULA,0.149,0.0,,END ONEWAY ROADWAY
2020,U-1016,A,000+0.162,000+0.241,0.07898867,C001016,A,C001016A,000+0.162,000+0.241,0.16170622,0.24069489,56,4A,109,56-4A-109,,,E,3133,9,5,34,32,3,3,2,11,10,1,UMA_UC,8015,10,136,22,22,29,29,,4,,YELLOWSTONE,0.0,0.0,,
2020,S-463,A,006+0.083,014+0.344,8.16964782,C000463,A,C000463A,006+0.083,014+0.344,6.03722593,14.20687375,2,7,7,02-7-007,,,E,249,0,0,1,11,4,0,0,4,44,16,RMA_RMC_345,5294,10,161,3,3,4,4,,2,,BIG HORN,0.733,0.733,,
2020,P-9,A,039+0.970,043+0.157,3.16837513,C000009,A,C000009A,039+0.970,043+0.157,40.01428971,43.18266484,25,3,4,25-3-004,,,E,744,5,18,2,33,21,7,24,3,44,28,RMA_RMC_345,4011,21,150,15,15,22,22,,2,,LEWIS AND CLARK,0.584,0.307,,
2020,U-5302,A,005+0.056,006+0.020,0.96605666,C000531,A,C000531A,005+0.056,006+0.020,5.05566994,6.0217266,41,2A,18,41-2A-018,,,E,3056,14,0,18,52,13,5,0,6,17,4,UMA_UC,5345,10,109,27,27,37,37,,2,,RAVALLI,0.0,0.0,,ENT U-5302A
2020,S-366,A,020+0.425,029+0.453,9.02897344,C000366,A,C000366A,020+0.425,029+0.453,20.39392157,29.42289501,51,4,6,51-4-006,,,E,75,3,0,0,12,8,40,0,0,160,107,RMA_RMC_345,5222,13,229,4,4,5,5,,2,,TOOLE,0.0,0.0,,
2020,L-49-101,A,054+0.772,057+0.235,2.41525518,C000298,A,C000298A,054+0.772,057+0.235,54.78334559,57.19860077,49,3,4,49-3-004,,,E,142,8,0,22,42,17,56,0,155,296,120,RMA_RMC_345,5149,10,178,21,21,30,30,,1,,SWEET GRASS,0.695,0.135,,ENT L-49-101A
2020,P-29,A,074+0.234,075+0.048,0.81674503,C000029,A,C000029A,074+0.234,075+0.048,73.83511292,74.65185795,22,3,21,22-3-021,,,E,777,4,73,2,20,7,5,94,3,26,9,RMA_RMC_12,4045,10,134,6,6,8,8,,2,,JEFFERSON,0.637,0.243,,
2020,L-32-810,A,000+0.495,000+0.985,0.48951518,C005963,A,C005963A,000+0.495,000+0.985,0.49504355,0.98455873,32,3A,308,32-3A-308,,,E,481,0,0,0,0,0,0,0,0,0,0,UMA_UC,0,10,118,0,0,0,0,,2,,MISSOULA,0.0,0.0,,
2020,N-60,A,092+0.281,092+0.690,0.40842411,C000060,A,C000060A,092+0.281,092+0.690,93.05196344,93.46038755,7,2A,14,07-2A-014,,,E,33714,100,35,32,942,420,3,1,1,28,12,UPA,7045,10,98,425,425,614,614,,6,,CASCADE,0.0,0.0,JCT U-5217(25TH ST),JCT U-5217(25TH ST)
2020,S-254,A,043+0.309,043+0.559,0.25045154,C000254,A,C000254A,043+0.309,043+0.559,43.28841045,43.53886199,11,1,9,11-1-009,,,E,216,20,0,2,63,47,93,0,9,292,218,RMA_RMC_345,5257,10,171,29,29,43,43,,2,,DAWSON,0.0,1.166,JCT P-51,JCT P-51
2020,U-5205,A,001+0.692,002+0.546,0.85236665,C005205,A,C005205A,001+0.692,002+0.546,1.69476495,2.5471316,7,2A,55,07-2A-055,,,A,7071,6,14,62,592,294,1,2,9,84,42,UMA_UC,8142,12,101,270,270,388,388,,2,,CASCADE,0.0,0.0,JCT N-103(CENTRAL AVE),JCT N-103(CENTRAL AVE)
2020,N-20,A,049+0.732,050+0.013,0.22562967,C000020,A,C000020A,049+0.732,050+0.013,49.35724936,49.58287903,42,4A,12,42-4A-012,,,E,4696,9,26,20,448,301,2,6,4,95,64,UPA,3047,27,103,192,192,293,293,,4,,RICHLAND,0.271,0.705,,BEGIN 4 LANES
