CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000008A,04-1-002,074+0.462,076+0.556,N-8,22,2.091,6293.5,13159.7085,,BROADWATER,,US-12,NI-NHS,4.4,1430.340909090909,2990.8428409090907
C000008A,04-1-008,076+0.556,077+0.298,N-8,0,0.726,6868.0,4986.168,,BROADWATER,,US-12,NI-NHS,0.0,,
C000008A,04-1-009,077+0.298,077+0.565,N-8,0,0.267,7113.0,1899.171,,BROADWATER,,US-12,NI-NHS,0.0,,
C000008A,04-1-010,077+0.565,077+0.917,N-8,2,0.352,6676.5,2350.1279999999997,,BROADWATER,,US-12,NI-NHS,0.4,16691.25,5875.319999999999
C000008A,04-1-011,077+0.917,079+0.942,N-8,3,2.025,4692.5,9502.3125,,BROADWATER,,US-12,NI-NHS,0.6,7820.833333333334,15837.1875
C000008A,04-1-011,079+0.942,080+0.918,N-8,8,0.992,4692.5,4654.96,,BROADWATER,,US-12,NI-NHS,1.6,2932.8125,2909.35
C000008A,04-1-011,080+0.918,082+0.149,N-8,17,1.245,4692.5,5842.1625,,BROADWATER,,US-12,NI-NHS,3.4,1380.1470588235295,1718.2830882352944
C000008A,04-1-011,082+0.149,083+0.071,N-8,12,0.927,4692.5,4349.9475,,BROADWATER,,US-12,NI-NHS,2.4,1955.2083333333337,1812.478125
C000008A,04-2-001,086+0.270,088+0.443,N-8,16,2.183,4659.5,10171.688499999998,,BROADWATER,,US-12,NI-NHS,3.2,1456.09375,3178.6526562499994
C000008A,04-2-001,083+0.071,086+0.270,N-8,19,3.2,4659.5,14910.4,,BROADWATER,,US-12,NI-NHS,3.8,1226.1842105263158,3923.7894736842113
C000008A,04-2-002,088+0.443,089+0.360,N-8,3,0.911,4155.5,3785.6605,,BROADWATER,,US-12,NI-NHS,0.6,6925.833333333334,6309.434166666667
C000008A,04-2-002,096+1.099,097+0.967,N-8,2,1.118,4155.5,4645.849,,BROADWATER,,US-12,NI-NHS,0.4,10388.75,11614.6225
C000008A,04-2-002,095+0.687,096+1.099,N-8,2,1.302,4155.5,5410.461,,BROADWATER,,US-12,NI-NHS,0.4,10388.75,13526.1525
C000008A,04-2-002,094+0.654,095+0.687,N-8,2,0.954,4155.5,3964.347,,BROADWATER,,US-12,NI-NHS,0.4,10388.75,9910.867499999998
C000008A,04-2-002,089+0.360,094+0.654,N-8,30,5.361,4155.5,22277.6355,,BROADWATER,,US-12,NI-NHS,6.0,692.5833333333334,3712.93925
C000008A,04-2-003,107+0.819,107+0.900,N-8,1,0.081,6224.25,504.16425,,BROADWATER,,US-12,NI-NHS,0.2,31121.25,2520.82125
