CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C006888,A,006+0.220,NOT IN CITY LIMITS,SHERIDAN,MARCH,2020,SUN,962389.82558,505176.86376,,,6.22
C006888,A,012+0.473,PLENTYWOOD,SHERIDAN,MAY,2020,SUN,962919.35498,514044.99521,,,12.473
C006888,A,012+0.872,PLENTYWOOD,SHERIDAN,OCTOBER,2020,THU,962313.18800,514243.07700,48.7748483016889,-104.566688972841,12.872
C006888,A,006+0.085,NOT IN CITY LIMITS,SHERIDAN,NOVEMBER,2021,TUE,962176.49209,505153.38485,48.693324998802197,-104.57636109640001,6.085
C006888,A,011+0.113,NOT IN CITY LIMITS,SHERIDAN,JANUARY,2021,THU,963432.36794,512101.14054,48.7549770001654,-104.553376088405,11.113
C006888,A,011+0.655,PLENTYWOOD,SHERIDAN,JANUARY,2022,MON,963345.83875,512964.13704,48.762772128325501,-104.55380992825,11.655
C006888,A,011+0.582,NOT IN CITY LIMITS,SHERIDAN,NOVEMBER,2023,TUE,963376.02897,512847.71235,48.761710000000001,-104.5535,11.582
C006888,A,012+0.526,PLENTYWOOD,SHERIDAN,AUGUST,2023,SUN,962822.11300,514025.98471,48.772599999999997,-104.56001000000001,12.526
