CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C228212,A,000+0.169,NOT IN CITY LIMITS,SILVER BOW,JULY,2022,MON,358971.29182,200008.28453,46.006643873144803,-112.614129938697,0.169
C228212,A,000+0.312,NOT IN CITY LIMITS,SILVER BOW,AUGUST,2022,WED,359185.53891,199924.03310,46.005962755115704,-112.61132152678699,0.312
