YEAR,DEPT_ID,DEPT_RBD,DEPT_MP,DEPT_ENDMP,DEPT_MIOFF,DEPT_KMOFF,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,CORR_KMOFF,TYC_CNTY,MAPSHEET,STATION,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,TYC_BEG_TI,TYC_END_TI
2019,N-20,N,060+0.706,062+0.535,60.303,97.0483,1.862,C000020,N,C000020N,060+0.706,062+0.535,60.303,62.165,97.0483,42,2,2,42-2-002,,TYC,A,4708,13,13,48,820,429,3,3,10,174,91,RURAL PRINCIPAL ARTERIAL,4031,32,104,296,296,439,439,,4,7058519,4220571
2019,S-229,N,006+0.377,007+0.379,1.59,2.5589,1.002,C005809,N,C005809N,006+0.377,007+0.379,6.375,7.377,10.2596,25,7A,2,25-7A-002,,TYC,E,3773,28,8,1,98,15,7,2,0,26,4,RURAL MAJOR COLLECTOR,8079,10,113,36,36,50,50,,2,7050603,2530001
2019,N-50,N,086+0.366,087+0.019,86.597,139.3644,0.847,C000050,N,C000050N,086+0.366,087+0.019,86.597,87.444,139.3644,16,3B,1,16-3B-001,,TYC,E,23730,67,31,68,689,310,3,1,3,29,13,URBAN PRINCIPAL ARTERIAL,7038,20,102,318,318,455,455,,4,7021619,1620017
2019,L-2-2,E,000+0.000,012+0.233,0.0,0.0,12.233,C002002,N,C002002N,000+0.000,012+0.233,0.0,12.233,0.0,2,2,2,02-2-002,,TYC,E,27,0,0,0,0,0,0,0,0,0,0,RURAL MAJOR COLLECTOR,5425,10,143,0,0,0,0,,2,7037387,7037388
2019,X-09003,N,000+0.000,002+0.870,0.0,0.0,2.87,C009003,N,C009003N,000+0.000,002+0.870,0.0,2.87,0.0,9,2A,63,09-2A-063,,TYC,A,1493,10,0,5,66,43,7,0,3,44,29,URBAN COLLECTOR,9193,11,109,28,28,43,43,,2,7040994,7041083
2019,N-57,E,032+0.972,036+0.617,33.012,53.1277,3.687,C000057,E,C000057E,032+0.972,036+0.617,33.012,36.699,53.1277,23,2,1,23-2-001,W-114,TYC,A,2250,12,37,19,504,353,5,16,8,224,157,RURAL PRINCIPAL ARTERIAL,3067,10,133,216,216,325,325,,2,7048954,2320003
2019,L-1-302,E,016+0.894,057+0.064,16.894,27.1883,40.17,C001302,N,C001302N,016+0.894,057+0.064,16.894,57.064,27.1883,1,5,4,01-5-004,,TYC,E,31,0,0,0,0,0,0,0,0,0,0,RURAL MAJOR COLLECTOR,0,10,143,0,0,0,0,,2,7037335,7037294
2019,U-7404,W,000+0.420,001+0.079,0.42,0.6759,0.659,C007404,W,C007404W,000+0.420,001+0.079,0.42,1.079,0.6759,34,2A,26,34-2A-026,,TYC,A,3237,6,4,14,84,17,2,1,4,26,5,URBAN COLLECTOR,9037,24,109,24,24,31,31,,2,3440000,3440002
2019,N-111,E,000+0.499,000+0.998,0.499,0.8031,0.499,C001010,E,C001010E,000+0.499,000+0.998,0.499,0.998,0.8031,56,4A,46,56-4A-046,,TYC,A,16410,79,26,132,1201,578,5,2,8,73,35,URBAN PRINCIPAL ARTERIAL,7058,10,107,544,544,789,789,,2,7029491,7145919
2019,L-32-4585,N,000+0.000,000+0.662,0.0,0.0,0.662,C006615,N,C006615N,000+0.000,000+0.662,0.0,0.662,0.0,32,3A,277,32-3A-277,,TYC,E,496,0,0,0,0,0,0,0,0,0,0,URBAN COLLECTOR,0,10,114,0,0,0,0,,2,7034936,7026612
