CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C000454,A,001+0.168,NOT IN CITY LIMITS,LEWIS AND CLARK,MARCH,2023,THU,403742.23077,260262.03463,46.563233225954001,-112.06158777835201,1.168
C000454,A,001+0.612,NOT IN CITY LIMITS,LEWIS AND CLARK,OCTOBER,2023,SUN,403442.41615,259618.04452,46.557351440938803,-112.065223025378,1.612
C000454,A,001+0.674,NOT IN CITY LIMITS,LEWIS AND CLARK,DECEMBER,2023,SAT,403407.94842,259523.52230,46.556490938426997,-112.06563214054501,1.674
C000454,A,002+0.932,HELENA,LEWIS AND CLARK,SEPTEMBER,2023,WED,402046.89992,258193.22667,46.544120788574197,-112.082809448242,2.932
