CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C025647,A,000+0.053,NOT IN CITY LIMITS,LEWIS AND CLARK,JANUARY,2023,FRI,405046.12684,268978.57857,46.642032120024197,-112.048281263007,0.053
C025647,A,000+0.407,NOT IN CITY LIMITS,LEWIS AND CLARK,JULY,2023,FRI,404476.29997,268984.12139,46.641914901307103,-112.055726669916,0.407
C025647,A,001+0.149,NOT IN CITY LIMITS,LEWIS AND CLARK,FEBRUARY,2023,MON,403478.90718,269444.59419,46.645763766253197,-112.06895179268599,1.149
