CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000090A,20-1-009,154+0.599,160+0.294,I-90,64,5.699,9509.5,54194.6405,,GRANITE,,I-90,Interstate,12.8,742.9296875,4233.9562890625
C000090A,20-1-009,160+0.294,161+0.658,I-90,13,1.387,9509.5,13189.6765,,POWELL,,I-90,Interstate,2.6,3657.5,5072.952499999999
C000090A,22-3-001,241+0.777,248+0.716,I-90,63,6.957,9310.0,64769.67,,JEFFERSON,,I-90,Interstate,12.6,738.8888888888889,5140.45
C000090A,22-3-001,232+0.982,241+0.777,I-90,239,8.971,9300.0,83430.3,,JEFFERSON,,I-90,Interstate,47.8,194.56066945606696,1745.4037656903768
C000090A,22-3-001,232+0.954,232+0.982,I-90,0,0.028,10054.0,281.512,,SILVER BOW,,I-90,Interstate,0.0,,
C000090A,22-4-001,256+0.019,267+0.446,I-90,206,11.4,11197.0,127645.8,,JEFFERSON,,I-90,Interstate,41.2,271.7718446601942,3098.1990291262136
C000090A,31-1-002,010+0.301,016+0.022,I-90,108,5.656,7448.0,42125.888,,MINERAL,,I-90,Interstate,21.6,344.8148148148148,1950.2725925925924
C000090A,31-1-002,016+0.022,018+0.688,I-90,48,2.681,7867.5,21092.7675,,MINERAL,,I-90,Interstate,9.6,819.53125,2197.16328125
C000090A,31-1-002,018+0.688,021+0.785,I-90,54,3.062,7867.5,24090.285,,MINERAL,,I-90,Interstate,10.8,728.4722222222222,2230.581944444444
C000090A,31-1-002,021+0.785,025+0.133,I-90,93,3.38,7867.5,26592.15,,MINERAL,,I-90,Interstate,18.6,422.9838709677419,1429.6854838709676
C000090A,31-1-004,033+0.158,037+0.029,I-90,70,3.712,7117.0,26418.304,,MINERAL,,I-90,Interstate,14.0,508.3571428571428,1887.0217142857143
C000090A,31-1-004,037+0.029,042+0.792,I-90,73,5.278,7097.25,37459.2855,,MINERAL,,I-90,Interstate,14.6,486.11301369863014,2565.70448630137
C000090A,31-2-002,061+0.565,064+0.910,I-90,56,3.349,8176.0,27381.424000000003,,MINERAL,,I-90,Interstate,11.2,730.0,2444.7700000000004
C000090A,31-2-002,064+0.910,066+0.549,I-90,32,1.696,7740.0,13127.04,,MINERAL,,I-90,Interstate,6.4,1209.375,2051.1
C000090A,31-2-006,047+0.321,055+0.150,I-90,135,7.89,7649.0,60350.61,,MINERAL,,I-90,Interstate,27.0,283.2962962962963,2235.2077777777777
