SEGMENT_KEY,CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000003_014+0.380_020+0.061_P-3,C000003A,07-1-001,014+0.380,020+0.061,P-3,15,5.318,1690.25,8988.7495,,CASCADE,,MT-200/US-89,NI-NHS,3.0,563.4166666666666,2996.2498333333333
C000003_020+0.061_020+0.078_P-3,C000003A,07-1-001,020+0.061,020+0.078,P-3,1,0.017,1690.25,28.734250000000003,,TETON,,MT-200/US-89,NI-NHS,0.2,8451.25,143.67125
C000003_008+0.456_014+0.380_P-3,C000003A,07-1-002,008+0.456,014+0.380,P-3,30,5.98,1576.4,9426.872,,CASCADE,,MT-200/US-89,NI-NHS,6.0,262.73333333333335,1571.1453333333336
C000003_102+0.699_110+0.501_P-3,C000003A,18-4-007,102+0.699,110+0.501,P-3,23,7.856,1274.0,10008.544,,GLACIER,,MT-200/US-89,NI-NHS,4.6,276.95652173913044,2175.770434782609
C000003_096+0.136_102+0.699_P-3,C000003A,18-5-007,096+0.136,102+0.699,P-3,16,6.287,1213.75,7630.84625,,GLACIER,,MT-200/US-89,NI-NHS,3.2,379.296875,2384.639453125
C000003_089+0.246_096+0.136_P-3,C000003A,37-1-001,089+0.246,096+0.136,P-3,14,6.895,1074.5,7408.6775,,GLACIER,,MT-200/US-89,NI-NHS,2.8,383.75,2645.95625
C000003_084+0.270_089+0.246_P-3,C000003A,37-1-001,084+0.270,089+0.246,P-3,19,4.866,1074.5,5228.517,,PONDERA,,MT-200/US-89,NI-NHS,3.8,282.7631578947369,1375.9255263157895
C000003_034+0.193_039+0.120_P-3,C000003A,50-3-001,034+0.193,039+0.120,P-3,17,4.926,1054.8,5195.9448,,TETON,,MT-200/US-89,NI-NHS,3.4,310.2352941176471,1528.2190588235296
C000003_041+0.945_046+0.526_P-3,C000003A,50-3-002,041+0.945,046+0.526,P-3,11,4.544,1067.25,4849.584,,TETON,,MT-200/US-89,NI-NHS,2.2,485.1136363636363,2204.3563636363633
C000003_039+0.120_040+0.556_P-3,C000003A,50-3-011,039+0.120,040+0.556,P-3,15,1.454,1294.75,1882.5665,,TETON,,MT-200/US-89,NI-NHS,3.0,431.5833333333333,627.5221666666666
C000003_040+0.556_041+0.125_P-3,C000003A,50-3-012,040+0.556,041+0.125,P-3,3,0.547,1990.3333333333333,1088.7123333333334,,TETON,,MT-200/US-89,NI-NHS,0.6,3317.222222222222,1814.520555555556
C000003_041+0.125_041+0.299_P-3,C000003A,50-3-013,041+0.125,041+0.299,P-3,4,0.174,3591.6666666666665,624.9499999999999,,TETON,,MT-200/US-89,NI-NHS,0.8,4489.583333333333,781.1874999999999
C000003_041+0.299_041+0.507_P-3,C000003A,50-3-013,041+0.299,041+0.507,P-3,3,0.209,3368.25,703.96425,,TETON,,MT-200/US-89,NI-NHS,0.6,5613.75,1173.27375
C000003_041+0.507_041+0.945_P-3,C000003A,50-3-014,041+0.507,041+0.945,P-3,4,0.437,1561.75,682.48475,,TETON,,MT-200/US-89,NI-NHS,0.8,1952.1875,853.1059374999999
C000003_020+0.078_022+0.610_P-3,C000003A,50-4-003,020+0.078,022+0.610,P-3,5,2.514,1727.25,4342.3065,,TETON,,MT-200/US-89,NI-NHS,1.0,1727.25,4342.3065
C000003_024+0.455_026+0.752_P-3,C000003A,50-4-004,024+0.455,026+0.752,P-3,4,2.051,1129.6666666666667,2316.9463333333338,,TETON,,MT-200/US-89,NI-NHS,0.8,1412.0833333333333,2896.182916666667
C000003_022+0.610_023+0.415_P-3,C000003A,50-4-014,022+0.610,023+0.415,P-3,2,0.821,1710.75,1404.52575,,TETON,,MT-200/US-89,NI-NHS,0.4,4276.875,3511.314375
C000003_023+0.415_023+0.646_P-3,C000003A,50-4-015,023+0.415,023+0.646,P-3,0,0.232,1910.25,443.178,,TETON,,MT-200/US-89,NI-NHS,0.0,,
C000003_023+0.646_023+0.975_P-3,C000003A,50-4-017,023+0.646,023+0.975,P-3,0,0.329,1402.0,461.258,,TETON,,MT-200/US-89,NI-NHS,0.0,,
C000003_023+0.975_024+0.455_P-3,C000003A,50-4-018,023+0.975,024+0.455,P-3,2,0.492,1195.75,588.309,,TETON,,MT-200/US-89,NI-NHS,0.4,2989.375,1470.7724999999998
C000003_026+0.752_034+0.193_P-3,C000003A,086336K,026+0.752,034+0.193,P-3,7,7.471,1101.0,8225.571,,TETON,,MT-200/US-89,NI-NHS,1.4,786.4285714285714,5875.407857142857
