SEGMENT_KEY,CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000019_017+0.204_019+0.081_P-19,C000019A,12-1-004,017+0.204,019+0.081,P-19,6,1.824,1868.75,3408.6,,DEER LODGE,,MT-1,Primary,1.2,1557.2916666666667,2840.5
C000019_019+0.081_020+0.246_P-19,C000019A,12-1-004,019+0.081,020+0.246,P-19,3,1.304,1868.75,2436.85,,DEER LODGE,,MT-1,Primary,0.6,3114.5833333333335,4061.4166666666665
C000019_020+0.246_021+0.465_P-19,C000019A,12-1-004,020+0.246,021+0.465,P-19,3,1.225,1868.75,2289.21875,,DEER LODGE,,MT-1,Primary,0.6,3114.5833333333335,3815.3645833333335
C000019_021+0.465_027+0.342_P-19,C000019A,12-1-005,021+0.465,027+0.342,P-19,25,5.696,1517.25,8642.256,,DEER LODGE,,MT-1,Primary,5.0,303.45,1728.4512
C000019_000+0.000_002+0.790_P-19,C000019A,12-1B-001,000+0.000,002+0.790,P-19,18,2.767,4284.25,11854.51975,,DEER LODGE,,MT-1,Primary,3.6,1190.0694444444443,3292.9221527777777
C000019_004+0.416_005+0.573_P-19,C000019A,12-1B-003,004+0.416,005+0.573,P-19,21,1.152,5905.5,6803.1359999999995,,DEER LODGE,,MT-1,Primary,4.2,1406.0714285714284,1619.7942857142857
C000019_005+0.573_006+0.900_P-19,C000019A,12-1B-007,005+0.573,006+0.900,P-19,20,1.32,8826.0,11650.32,,DEER LODGE,,MT-1,Primary,4.0,2206.5,2912.58
C000019_002+0.790_004+0.416_P-19,C000019A,12-1B-008,002+0.790,004+0.416,P-19,18,1.616,5445.75,8800.332,,DEER LODGE,,MT-1,Primary,3.6,1512.7083333333333,2444.536666666667
C000019_009+0.250_010+0.063_P-19,C000019A,12-1C-001,009+0.250,010+0.063,P-19,1,0.812,4876.5,3959.718,,DEER LODGE,,MT-1,Primary,0.2,24382.5,19798.59
C000019_008+0.933_009+0.250_P-19,C000019A,12-1C-002,008+0.933,009+0.250,P-19,2,0.313,6877.5,2152.6575,,DEER LODGE,,MT-1,Primary,0.4,17193.75,5381.643749999999
C000019_008+0.646_008+0.933_P-19,C000019A,12-1C-004,008+0.646,008+0.933,P-19,0,0.286,3615.0,1033.89,,DEER LODGE,,MT-1,Primary,0.0,,
C000019_007+0.688_007+0.969_P-19,C000019A,12-1C-012,007+0.688,007+0.969,P-19,2,0.28,5441.0,1523.4800000000002,,DEER LODGE,,MT-1,Primary,0.4,13602.5,3808.7
C000019_006+0.900_007+0.199_P-19,C000019A,12-1C-013,006+0.900,007+0.199,P-19,3,0.295,9310.5,2746.5975,,DEER LODGE,,MT-1,Primary,0.6,15517.5,4577.6625
C000019_010+0.063_010+0.561_P-19,C000019A,12-1C-043,010+0.063,010+0.561,P-19,1,0.497,4319.0,2146.543,,DEER LODGE,,MT-1,Primary,0.2,21595.0,10732.715
C000019_012+0.362_013+0.659_P-19,C000019A,12-1C-044,012+0.362,013+0.659,P-19,6,1.295,2085.75,2701.04625,,DEER LODGE,,MT-1,Primary,1.2,1738.125,2250.871875
C000019_013+0.659_017+0.204_P-19,C000019A,12-1C-045,013+0.659,017+0.204,P-19,14,3.54,1977.0,6998.58,,DEER LODGE,,MT-1,Primary,2.8,706.0714285714287,2499.4928571428572
C000019_007+0.199_007+0.688_P-19,C000019A,12-1C-046,007+0.199,007+0.688,P-19,0,0.49,5033.25,2466.2925,,DEER LODGE,,MT-1,Primary,0.0,,
C000019_008+0.155_008+0.292_P-19,C000019A,12-1C-052,008+0.155,008+0.292,P-19,0,0.137,5601.2,767.3644,,DEER LODGE,,MT-1,Primary,0.0,,
C000019_007+0.969_008+0.155_P-19,C000019A,12-1C-053,007+0.969,008+0.155,P-19,0,0.213,5799.5,1235.2935,,DEER LODGE,,MT-1,Primary,0.0,,
C000019_010+0.561_012+0.362_P-19,C000019A,12-1C-054,010+0.561,012+0.362,P-19,8,1.761,3588.0,6318.468,,DEER LODGE,,MT-1,Primary,1.6,2242.5,3949.0425
C000019_008+0.292_008+0.365_P-19,C000019A,12-1C-058,008+0.292,008+0.365,P-19,0,0.073,5350.6,390.5938,,DEER LODGE,,MT-1,Primary,0.0,,
C000019_008+0.365_008+0.646_P-19,C000019A,12-1C-063,008+0.365,008+0.646,P-19,0,0.281,4073.75,1144.72375,,DEER LODGE,,MT-1,Primary,0.0,,
C000019_057+0.449_061+0.159_P-19,C000019A,20-1-002,057+0.449,061+0.159,P-19,7,3.709,1338.5,4964.4965,,GRANITE,,MT-1,Primary,1.4,956.0714285714288,3546.068928571429
