CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000024A,07-1-003,133+0.579,139+0.437,N-24,78,5.861,2284.6666666666665,13390.431333333332,,CASCADE,,MT-200,NI-NHS,15.6,146.45299145299143,858.3609829059828
C000024A,07-1-011,127+0.475,133+0.579,N-24,41,6.091,1961.0,11944.451,,CASCADE,,MT-200,NI-NHS,8.2,239.14634146341464,1456.6403658536587
C000024A,07-1-012,124+0.630,127+0.475,N-24,8,2.861,1493.0,4271.473,,CASCADE,,MT-200,NI-NHS,1.6,933.125,2669.6706249999997
C000024A,07-1-013,116+0.897,124+0.630,N-24,12,7.781,1287.5,10018.0375,,CASCADE,,MT-200,NI-NHS,2.4,536.4583333333334,4174.182291666667
C000024A,07-1-013,116+0.820,116+0.897,N-24,0,0.077,1287.5,99.1375,,LEWIS AND CLARK,,MT-200,NI-NHS,0.0,,
C000024A,25-3-005,087+0.493,100+0.431,N-24,90,12.958,1355.0,17558.09,,LEWIS AND CLARK,,MT-200,NI-NHS,18.0,75.27777777777777,975.4494444444445
C000024A,25-3-006,100+0.431,109+0.079,N-24,35,8.632,1344.75,11607.882,,LEWIS AND CLARK,,MT-200,NI-NHS,7.0,192.1071428571429,1658.268857142857
C000024A,25-3-014,113+0.970,116+0.820,N-24,6,2.85,1372.75,3912.3375,,LEWIS AND CLARK,,MT-200,NI-NHS,1.2,1143.9583333333337,3260.28125
C000024A,25-3-014,113+0.561,113+0.970,N-24,2,0.409,1372.75,561.45475,,LEWIS AND CLARK,,MT-200,NI-NHS,0.4,3431.875,1403.636875
C000024A,25-3-014,113+0.377,113+0.561,N-24,0,0.184,1372.75,252.586,,LEWIS AND CLARK,,MT-200,NI-NHS,0.0,,
C000024A,25-3-014,112+0.452,113+0.377,N-24,2,0.923,1372.75,1267.04825,,LEWIS AND CLARK,,MT-200,NI-NHS,0.4,3431.875,3167.620625
C000024A,25-3-014,110+0.340,111+0.079,N-24,1,0.735,1372.75,1008.97125,,LEWIS AND CLARK,,MT-200,NI-NHS,0.2,6863.75,5044.85625
