SEGMENT_KEY,CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000014_000+0.557_002+0.398_P-14,C000014A,04-1-003,000+0.557,002+0.398,P-14,4,1.842,2391.5,4405.143,,BROADWATER,BROADWAY ST,US-12,Primary,0.8,2989.375,5506.42875
C000014_002+0.398_011+0.766_P-14,C000014A,04-1-004,002+0.398,011+0.766,P-14,34,9.317,1359.4,12665.5298,,BROADWATER,BROADWAY ST,US-12,Primary,6.8,199.9117647058824,1862.577911764706
C000014_000+0.000_000+0.279_P-14,C000014A,04-1-012,000+0.000,000+0.279,P-14,2,0.279,3578.25,998.33175,,BROADWATER,BROADWAY ST,US-12,Primary,0.4,8945.625,2495.829375
C000014_000+0.279_000+0.557_P-14,C000014A,04-1-013,000+0.279,000+0.557,P-14,1,0.278,3384.25,940.8215,,BROADWATER,BROADWAY ST,US-12,Primary,0.2,16921.25,4704.1075
C000014_039+0.149_041+0.681_P-14,C000014A,30-3-003,039+0.149,041+0.681,P-14,5,2.532,1398.75,3541.635,,MEAGHER,BROADWAY ST,US-12,Primary,1.0,1398.75,3541.635
C000014_041+0.681_041+0.928_P-14,C000014A,30-3-014,041+0.681,041+0.928,P-14,0,0.247,1999.75,493.93825,,MEAGHER,BROADWAY ST,US-12,Primary,0.0,,
C000014_041+0.928_042+0.163_P-14,C000014A,30-3-015,041+0.928,042+0.163,P-14,0,0.217,1953.0,423.801,,MEAGHER,BROADWAY ST,US-12,Primary,0.0,,
C000014_042+0.163_042+0.311_P-14,C000014A,30-3-016,042+0.163,042+0.311,P-14,0,0.148,2683.4,397.1432,,MEAGHER,BROADWAY ST,US-12,Primary,0.0,,
C000014_042+0.311_042+0.683_P-14,C000014A,30-3-017,042+0.311,042+0.683,P-14,0,0.372,2441.25,908.145,,MEAGHER,BROADWAY ST,US-12,Primary,0.0,,
C000014_042+0.683_043+0.780_P-14,C000014A,30-3-018,042+0.683,043+0.780,P-14,0,1.098,1117.25,1226.7405,,MEAGHER,BROADWAY ST,US-12,Primary,0.0,,
C000014_169+0.474_169+0.750_P-14,C000014A,33-3-014,169+0.474,169+0.750,P-14,1,0.276,1514.75,418.071,,MUSSELSHELL,BROADWAY ST,US-12,Primary,0.2,7573.75,2090.355
C000014_169+0.750_170+0.169_P-14,C000014A,33-3-015,169+0.750,170+0.169,P-14,1,0.439,1099.25,482.57075,,MUSSELSHELL,BROADWAY ST,US-12,Primary,0.2,5496.25,2412.85375
C000014_270+0.579_270+0.828_P-14,C000014A,44-5-012,270+0.579,270+0.828,P-14,1,0.249,1281.75,319.15575,,ROSEBUD,BROADWAY ST,US-12,Primary,0.2,6408.75,1595.77875
C000014_270+0.828_270+0.862_P-14,C000014A,44-5-012,270+0.828,270+0.862,P-14,2,0.034,1281.75,43.5795,,ROSEBUD,BROADWAY ST,US-12,Primary,0.4,3204.375,108.94875
C000014_270+0.862_270+0.907_P-14,C000014A,44-5-012,270+0.862,270+0.907,P-14,0,0.045,1295.0,58.275,,ROSEBUD,BROADWAY ST,US-12,Primary,0.0,,
C000014_099+0.042_099+0.441_P-14,C000014A,54-2-012,099+0.042,099+0.441,P-14,0,0.399,1245.75,497.05425,,WHEATLAND,BROADWAY ST,US-12,Primary,0.0,,
C000014_099+0.441_099+0.699_P-14,C000014A,54-2-013,099+0.441,099+0.699,P-14,0,0.258,2077.25,535.9305,,WHEATLAND,BROADWAY ST,US-12,Primary,0.0,,
C000014_099+0.699_099+0.843_P-14,C000014A,54-2-014,099+0.699,099+0.843,P-14,0,0.144,2312.0,332.928,,WHEATLAND,BROADWAY ST,US-12,Primary,0.0,,
C000014_100+0.329_100+0.960_P-14,C000014A,54-2-015,100+0.329,100+0.960,P-14,1,0.63,1992.5,1255.275,,WHEATLAND,BROADWAY ST,US-12,Primary,0.2,9962.5,6276.375
C000014_099+0.843_100+0.329_P-14,C000014A,54-2-024,099+0.843,100+0.329,P-14,0,0.415,2597.5,1077.9625,,WHEATLAND,BROADWAY ST,US-12,Primary,0.0,,
