CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000057A,14-6A-008,082+0.668,082+0.923,N-57,2,0.255,7752.8,1976.964,,FERGUS,,MT-200/MT-3/US-87,NI-NHS,0.4,19382.0,4942.41
C000057A,14-6A-009,083+0.167,086+0.079,N-57,18,2.969,2847.0,8452.743,,FERGUS,,MT-200/MT-3/US-87,NI-NHS,3.6,790.8333333333333,2347.9841666666666
C000057A,14-6A-057,080+0.850,081+0.161,N-57,2,0.373,5517.0,2057.841,,FERGUS,,MT-200/MT-3/US-87,NI-NHS,0.4,13792.5,5144.602499999999
C000057A,14-6A-057,081+0.161,081+0.293,N-57,1,0.133,5517.0,733.7610000000001,,FERGUS,,MT-200/MT-3/US-87,NI-NHS,0.2,27585.0,3668.805
C000057A,14-6A-064,081+0.293,081+0.707,N-57,15,0.413,5106.6,2109.0258,,FERGUS,,MT-200/MT-3/US-87,NI-NHS,3.0,1702.2,703.0086
C000057A,14-6A-065,082+0.923,083+0.167,N-57,1,0.26,5622.0,1461.72,,FERGUS,,MT-200/MT-3/US-87,NI-NHS,0.2,28110.0,7308.599999999999
C000057A,14-7-005,104+0.655,112+0.985,N-57,33,8.292,1196.25,9919.305,,FERGUS,,MT-200/MT-3/US-87,NI-NHS,6.6,181.25,1502.9250000000002
C000057A,17-4-011,212+0.074,212+0.449,N-57,1,0.374,1130.0,422.62,,GARFIELD,,MT-200/MT-3/US-87,NI-NHS,0.2,5650.0,2113.1
C000057A,17-4-012,212+0.449,212+0.757,N-57,0,0.308,1285.8,396.0264,,GARFIELD,,MT-200/MT-3/US-87,NI-NHS,0.0,,
C000057A,23-1-001,010+0.428,021+0.246,N-57,65,10.877,2189.75,23817.910750000003,,JUDITH BASIN,,MT-200/MT-3/US-87,NI-NHS,13.0,168.44230769230768,1832.146980769231
C000057A,23-1-002,024+0.351,024+0.505,N-57,1,0.154,2540.25,391.1985,,JUDITH BASIN,,MT-200/MT-3/US-87,NI-NHS,0.2,12701.25,1955.9925
C000057A,23-1-002,032+0.390,032+0.971,N-57,2,0.581,2540.25,1475.8852499999998,,JUDITH BASIN,,MT-200/MT-3/US-87,NI-NHS,0.4,6350.625,3689.7131249999993
C000057A,23-1-002,027+0.417,028+0.289,N-57,3,0.853,2540.25,2166.83325,,JUDITH BASIN,,MT-200/MT-3/US-87,NI-NHS,0.6,4233.75,3611.388750000001
C000057A,23-1-002,028+0.289,029+0.359,N-57,4,1.116,2540.25,2834.9190000000003,,JUDITH BASIN,,MT-200/MT-3/US-87,NI-NHS,0.8,3175.3125,3543.6487500000003
C000057A,23-1-002,029+0.359,032+0.390,N-57,12,2.99,2540.25,7595.347500000001,,JUDITH BASIN,,MT-200/MT-3/US-87,NI-NHS,2.4,1058.4375,3164.7281250000005
C000057A,23-1-002,024+0.279,024+0.351,N-57,1,0.072,2540.25,182.898,,JUDITH BASIN,,MT-200/MT-3/US-87,NI-NHS,0.2,12701.25,914.49
