SEGMENT_KEY,CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000288_006+0.127_007+0.757_S-288,C000288A,16-3-009,006+0.127,007+0.757,S-288,9,1.633,1692.0,2763.036,,GALLATIN,CHURCHILL RD,S-288,Secondary,1.8,940.0,1535.02
C000288_000+0.000_000+0.049_S-288,C000288A,A-006,000+0.000,000+0.049,S-288,2,0.049,1873.25,91.78925,,GALLATIN,CHURCHILL RD,S-288,Secondary,0.4,4683.125,229.473125
C000288_000+0.049_006+0.127_S-288,C000288A,A-006,000+0.049,006+0.127,S-288,34,6.075,1873.25,11379.99375,,GALLATIN,CHURCHILL RD,S-288,Secondary,6.8,275.4779411764706,1673.5284926470588
