SEGMENT_KEY,CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000050_076+0.377_076+0.766_N-50,C000050A,16-3A-006,076+0.377,076+0.766,N-50,15,0.389,14564.5,5665.5905,,GALLATIN,YELLOWSTONE AVE,US-191/US-20/US-287,NI-NHS,3.0,4854.833333333333,1888.530166666667
C000050_076+0.291_076+0.377_N-50,C000050A,16-3A-006,076+0.291,076+0.377,N-50,1,0.086,14564.5,1252.5469999999998,,GALLATIN,YELLOWSTONE AVE,US-191/US-20/US-287,NI-NHS,0.2,72822.5,6262.734999999999
C000050_075+0.768_076+0.291_N-50,C000050A,16-3A-006,075+0.768,076+0.291,N-50,23,0.535,14564.5,7792.007500000001,,GALLATIN,YELLOWSTONE AVE,US-191/US-20/US-287,NI-NHS,4.6,3166.1956521739135,1693.9146739130438
C000050_076+0.766_080+0.078_N-50,C000050A,16-3A-007,076+0.766,080+0.078,N-50,76,3.294,13918.0,45845.892,,GALLATIN,YELLOWSTONE AVE,US-191/US-20/US-287,NI-NHS,15.2,915.6578947368422,3016.177105263158
C000050_081+0.082_081+0.169_N-50,C000050A,16-3A-008,081+0.082,081+0.169,N-50,7,0.087,17818.75,1550.2312499999998,,GALLATIN,YELLOWSTONE AVE,US-191/US-20/US-287,NI-NHS,1.4,12727.678571428572,1107.3080357142856
C000050_081+0.169_081+0.900_N-50,C000050A,16-3A-008,081+0.169,081+0.900,N-50,70,0.731,17818.75,13025.50625,,GALLATIN,YELLOWSTONE AVE,US-191/US-20/US-287,NI-NHS,14.0,1272.767857142857,930.3933035714286
C000050_080+0.078_081+0.082_N-50,C000050A,16-3A-008,080+0.078,081+0.082,N-50,17,1.019,17818.75,18157.30625,,GALLATIN,YELLOWSTONE AVE,US-191/US-20/US-287,NI-NHS,3.4,5240.808823529412,5340.38419117647
C000050_081+0.900_084+0.842_N-50,C000050A,16-3A-011,081+0.900,084+0.842,N-50,240,2.931,22213.6,65108.06159999999,,GALLATIN,YELLOWSTONE AVE,US-191/US-20/US-287,NI-NHS,48.0,462.7833333333333,1356.4179499999998
C000050_084+0.842_085+0.849_N-50,C000050A,16-3A-013,084+0.842,085+0.849,N-50,33,1.007,25408.2,25586.0574,,GALLATIN,YELLOWSTONE AVE,US-191/US-20/US-287,NI-NHS,6.6,3849.727272727273,3876.675363636364
C000050_085+0.849_086+0.355_N-50,C000050A,16-3A-026,085+0.849,086+0.355,N-50,2,0.509,24519.0,12480.171,,GALLATIN,YELLOWSTONE AVE,US-191/US-20/US-287,NI-NHS,0.4,61297.5,31200.4275
