CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000020A,11-3-001,008+0.129,017+0.080,N-20,34,8.906,2666.2,23745.1772,,DAWSON,,MT-16,NI-NHS,6.8,392.0882352941176,3491.9378235294116
C000020A,11-5A-022,000+0.000,000+0.559,N-20,8,0.559,3865.5,2160.8145000000004,,DAWSON,,MT-16,NI-NHS,1.6,2415.9375,1350.5090625000005
C000020A,11-5A-022,000+0.559,000+0.679,N-20,2,0.119,3880.3333333333335,461.75966666666665,,DAWSON,,MT-16,NI-NHS,0.4,9700.833333333334,1154.3991666666666
C000020A,11-5A-023,000+0.679,001+0.180,N-20,13,0.48,7180.666666666667,3446.72,,DAWSON,,MT-16,NI-NHS,2.6,2761.7948717948716,1325.6615384615384
C000020A,11-5A-024,001+0.180,002+0.419,N-20,10,1.204,3925.5,4726.302,,DAWSON,,MT-16,NI-NHS,2.0,1962.75,2363.151
C000020A,11-5A-025,002+0.419,003+0.716,N-20,8,1.353,3311.4,4480.3242,,DAWSON,,MT-16,NI-NHS,1.6,2069.625,2800.202625
C000020A,11-5A-026,003+0.716,008+0.129,N-20,13,4.397,2972.0,13067.884,,DAWSON,,MT-16,NI-NHS,2.6,1143.076923076923,5026.109230769231
C000020A,42-2-001,055+0.826,060+0.705,N-20,21,4.844,4371.0,21173.124,,RICHLAND,,MT-16,NI-NHS,4.2,1040.7142857142858,5041.219999999999
C000020A,42-2-002,062+0.307,062+0.533,N-20,1,0.226,4170.75,942.5895,,RICHLAND,,MT-16,NI-NHS,0.2,20853.75,4712.9475
C000020A,42-2-002,060+0.705,062+0.307,N-20,10,1.635,4170.75,6819.17625,,RICHLAND,,MT-16,NI-NHS,2.0,2085.375,3409.588125
C000020A,42-2-011,062+0.533,063+0.177,N-20,0,0.618,4413.25,2727.3885,,RICHLAND,,MT-16,NI-NHS,0.0,,
C000020A,42-2-012,063+0.177,063+0.599,N-20,3,0.422,4565.25,1926.5355,,RICHLAND,,MT-16,NI-NHS,0.6,7608.75,3210.8925
C000020A,42-2-013,063+0.599,063+0.736,N-20,2,0.137,4417.25,605.1632500000001,,RICHLAND,,MT-16,NI-NHS,0.4,11043.125,1512.9081250000002
C000020A,42-2-014,063+0.736,063+0.875,N-20,1,0.139,4126.75,573.6182500000001,,RICHLAND,,MT-16,NI-NHS,0.2,20633.75,2868.0912500000004
C000020A,42-2-014,063+0.875,064+0.181,N-20,2,0.35,4254.333333333333,1489.0166666666664,,RICHLAND,,MT-16,NI-NHS,0.4,10635.833333333332,3722.541666666666
C000020A,42-4-002,028+0.911,036+0.401,N-20,26,7.438,2592.0,19279.296,,RICHLAND,,MT-16,NI-NHS,5.2,498.46153846153845,3707.5569230769224
C000020A,42-4-003,036+0.401,047+0.259,N-20,55,10.823,3003.5,32506.880500000003,,RICHLAND,,MT-16,NI-NHS,11.0,273.04545454545456,2955.1709545454546
C000020A,42-4A-012,047+0.259,049+0.732,N-20,16,2.522,4260.75,10745.6115,,RICHLAND,,MT-16,NI-NHS,3.2,1331.484375,3358.0035937499997
C000020A,42-4A-012,049+0.732,050+0.012,N-20,1,0.217,4149.0,900.333,,RICHLAND,,MT-16,NI-NHS,0.2,20745.0,4501.665
C000020A,42-4A-013,050+0.379,051+0.472,N-20,9,1.109,3715.0,4119.935,,RICHLAND,,MT-16,NI-NHS,1.8,2063.8888888888887,2288.852777777778
C000020A,42-4A-014,051+0.472,051+0.728,N-20,14,0.257,7470.0,1919.79,,RICHLAND,,MT-16,NI-NHS,2.8,2667.857142857143,685.6392857142857
C000020A,42-4A-015,052+0.077,052+0.363,N-20,20,0.286,8686.0,2484.196,,RICHLAND,,MT-16,NI-NHS,4.0,2171.5,621.049
C000020A,42-4A-016,052+0.363,052+0.436,N-20,9,0.073,7825.25,571.24325,,RICHLAND,,MT-16,NI-NHS,1.8,4347.361111111111,317.3573611111111
C000020A,42-4A-017,052+0.436,052+0.566,N-20,4,0.13,6481.75,842.6275,,RICHLAND,,MT-16,NI-NHS,0.8,8102.1875,1053.284375
C000020A,42-4A-018,052+0.566,053+0.214,N-20,32,0.657,6435.0,4227.795,,RICHLAND,,MT-16,NI-NHS,6.4,1005.46875,660.59296875
C000020A,42-4A-051,050+0.012,050+0.379,N-20,7,0.367,5717.0,2098.139,,RICHLAND,,MT-16,NI-NHS,1.4,4083.571428571429,1498.6707142857144
C000020A,42-4A-054,053+0.214,053+0.382,N-20,0,0.168,5368.75,901.95,,RICHLAND,,MT-16,NI-NHS,0.0,,
C000020A,42-4A-054,053+0.382,055+0.826,N-20,20,2.454,5368.75,13174.9125,,RICHLAND,,MT-16,NI-NHS,4.0,1342.1875,3293.728125
C000020A,42-4A-056,051+0.838,052+0.077,N-20,14,0.249,7499.0,1867.251,,RICHLAND,,MT-16,NI-NHS,2.8,2678.214285714286,666.8753571428572
C000020A,42-4A-056,051+0.728,051+0.838,N-20,4,0.109,7499.0,817.391,,RICHLAND,,MT-16,NI-NHS,0.8,9373.75,1021.73875
C000020A,W-145,023+0.124,028+0.911,N-20,13,5.837,1896.25,11068.41125,,RICHLAND,,MT-16,NI-NHS,2.6,729.3269230769231,4257.081249999999
C000020A,W-145,017+0.080,023+0.124,N-20,16,5.717,1896.25,10840.86125,,DAWSON,,MT-16,NI-NHS,3.2,592.578125,3387.7691406249996
