SEGMENT_KEY,CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000037_000+0.000_000+0.144_N-37,C000037A,02-5-001,000+0.000,000+0.144,N-37,1,0.144,2195.75,316.188,,ROSEBUD,,US-212,NI-NHS,0.2,10978.75,1580.9399999999998
C000037_000+0.144_000+0.243_N-37,C000037A,02-5-001,000+0.144,000+0.243,N-37,0,0.099,2195.75,217.37925,,BIG HORN,,US-212,NI-NHS,0.0,,
C000037_000+0.243_000+0.549_N-37,C000037A,02-5-001,000+0.243,000+0.549,N-37,1,0.306,2195.75,671.8995,,BIG HORN,,US-212,NI-NHS,0.2,10978.75,3359.4975
C000037_000+0.549_001+0.326_N-37,C000037A,02-5-001,000+0.549,001+0.326,N-37,1,0.582,2195.75,1277.9264999999998,,BIG HORN,,US-212,NI-NHS,0.2,10978.75,6389.632499999999
C000037_001+0.326_006+0.431_N-37,C000037A,02-5-001,001+0.326,006+0.431,N-37,9,5.334,2195.75,11712.1305,,BIG HORN,,US-212,NI-NHS,1.8,1219.861111111111,6506.739166666666
C000037_006+0.431_007+0.349_N-37,C000037A,02-5-001,006+0.431,007+0.349,N-37,1,0.898,2195.75,1971.7835,,BIG HORN,,US-212,NI-NHS,0.2,10978.75,9858.9175
C000037_007+0.349_010+0.565_N-37,C000037A,02-5-001,007+0.349,010+0.565,N-37,1,3.22,2195.75,7070.3150000000005,,BIG HORN,,US-212,NI-NHS,0.2,10978.75,35351.575
C000037_010+0.565_012+0.743_N-37,C000037A,02-5-001,010+0.565,012+0.743,N-37,4,2.179,2195.75,4784.53925,,BIG HORN,,US-212,NI-NHS,0.8,2744.6875,5980.674062499999
C000037_012+0.743_017+0.130_N-37,C000037A,02-5-001,012+0.743,017+0.130,N-37,6,4.395,2195.75,9650.32125,,BIG HORN,,US-212,NI-NHS,1.2,1829.7916666666667,8041.934375
C000037_022+0.154_023+0.594_N-37,C000037A,02-5-002,022+0.154,023+0.594,N-37,3,1.439,2417.0,3478.063,,BIG HORN,,US-212,NI-NHS,0.6,4028.3333333333335,5796.771666666667
C000037_021+0.290_022+0.154_N-37,C000037A,02-5-002,021+0.290,022+0.154,N-37,1,0.868,2417.0,2097.956,,BIG HORN,,US-212,NI-NHS,0.2,12085.0,10489.78
C000037_017+0.130_017+0.355_N-37,C000037A,02-5-002,017+0.130,017+0.355,N-37,1,0.225,2417.0,543.825,,BIG HORN,,US-212,NI-NHS,0.2,12085.0,2719.125
