SEGMENT_KEY,CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000094_148+0.540_159+0.252_I-94,C000094A,09-2-002,148+0.540,159+0.252,I-94,51,10.46,4463.0,46682.98,,CUSTER,,I-94,Interstate,10.2,437.5490196078431,4576.76274509804
C000094_135+0.241_138+0.096_I-94,C000094A,09-2A-001,135+0.241,138+0.096,I-94,31,2.853,4707.0,13429.071000000002,,CUSTER,,I-94,Interstate,6.2,759.1935483870967,2165.9791935483872
C000094_138+0.096_140+0.957_I-94,C000094A,09-2A-002,138+0.096,140+0.957,I-94,14,2.865,4697.0,13456.905,,CUSTER,,I-94,Interstate,2.8,1677.5,4806.0375
C000094_140+0.957_148+0.540_I-94,C000094A,09-2A-003,140+0.957,148+0.540,I-94,51,7.602,4393.0,33395.586,,CUSTER,,I-94,Interstate,10.2,430.686274509804,3274.07705882353
C000094_224+0.004_231+0.143_I-94,C000094A,11-5-001,224+0.004,231+0.143,I-94,37,7.135,4376.0,31222.76,,DAWSON,,I-94,Interstate,7.4,591.3513513513514,4219.291891891891
C000094_231+0.143_234+1.061_I-94,C000094A,11-5-001,231+0.143,234+1.061,I-94,17,3.763,3980.5,14978.6215,,DAWSON,,I-94,Interstate,3.4,1170.735294117647,4405.476911764706
C000094_234+1.061_236+0.016_I-94,C000094A,11-5-001,234+1.061,236+0.016,I-94,1,1.03,3980.5,4099.915,,WIBAUX,,I-94,Interstate,0.2,19902.5,20499.574999999997
C000094_206+0.275_210+0.118_I-94,C000094A,11-5A-001,206+0.275,210+0.118,I-94,29,3.902,4430.0,17285.86,,DAWSON,,I-94,Interstate,5.8,763.7931034482759,2980.320689655173
C000094_204+0.024_206+0.275_I-94,C000094A,11-5A-001,204+0.024,206+0.275,I-94,17,2.252,4221.0,9505.692,,DAWSON,,I-94,Interstate,3.4,1241.470588235294,2795.791764705882
C000094_210+0.118_211+0.831_I-94,C000094A,11-5A-002,210+0.118,211+0.831,I-94,26,1.71,5385.0,9208.35,,DAWSON,,I-94,Interstate,5.2,1035.576923076923,1770.8365384615386
