OBJECTID,ROUTE ID,BEGIN MILE,END MILE,BEGIN REFERENCE POINT,END REFERENCE POINT,DEPARTMENTAL ROUTE,ROUTE NAME,SIGNED ROUTE,SYSTEM,FUNCTIONAL CLASS,ROUTE CATEGORY,STATE MAINTAINED,MAINTENANCE SECTION,STATE RESPONSIBLE,SURFACE TYPE,SURFACE WIDTH,THROUGH LANES,SPEED LIMIT,DIVIDED,ONE WAY,COINCIDENT,SEASONAL,CITY,URBAN AREA,MPO,RESERVATION,NATIONAL PARK,COUNTY,MAINTENANCE DIVISION,FINANCIAL DISTRICT,ADMINISTRATIVE DISTRICT,JUNCTION DESCRIPTION,DESCRIPTION,RECORD LENGTH (MI),CENTERLINE MILEAGE,Shape__Length
3006,C000019A,20.2547,21.4796,020+0.2462,021+0.4651,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,2114,Yes,Asphalt,32,2,70,,,,,,,,,,DEER LODGE,BUTTE,BUTTE,BUTTE,,BEGIN 2 LANES,1.2249,1.2249,2842.13781781715
3007,C000019A,21.4796,21.7893,021+0.4651,021+0.7748,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,2114,Yes,Asphalt,32,2,70,,,,,,,,,,DEER LODGE,BUTTE,BUTTE,BUTTE,,AADT CHANGE,0.309699999999999,0.309699999999999,717.898602415328
3008,C000019A,21.7893,22.8235,021+0.7748,022+0.8046,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,2114,Yes,Asphalt,40,2,70,,,,,,,,,,DEER LODGE,BUTTE,BUTTE,BUTTE,,SURFACE WIDTH CHANGE,1.0342,1.0342,2399.61561593264
3009,C000019A,22.8235,23.738,022+0.8046,023+0.7160,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,2114,Yes,Asphalt,32,2,70,,,,,,,,,,DEER LODGE,BUTTE,BUTTE,BUTTE,,SURFACE WIDTH CHANGE,0.9145,0.9145,2122.46124549866
3010,C000019A,23.738,23.8983,023+0.7160,023+0.8764,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,2114,Yes,Asphalt,44,2,70,,,,,,,,,,DEER LODGE,BUTTE,BUTTE,BUTTE,,SURFACE WIDTH CHANGE,0.160299999999999,0.160299999999999,372.424002768353
3011,C000019A,23.8983,24.0231,023+0.8764,023+1.0011,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,2114,Yes,Asphalt,25,2,70,,,,,,,,,,DEER LODGE,BUTTE,BUTTE,BUTTE,,SURFACE WIDTH CHANGE,0.1248,0.1248,289.634180737295
3012,C000019A,24.0231,26.6939,023+1.0011,026+0.8729,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,2114,Yes,Asphalt,25,2,60,,,,,,,,,,DEER LODGE,BUTTE,BUTTE,BUTTE,,BEGIN 60 MPH SPEED LIMIT,2.6708,2.6708,6216.3060219516
3013,C000019A,26.6939,26.9314,026+0.8729,027+0.0972,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,2114,Yes,Asphalt,24,2,60,,,,,,,,,,DEER LODGE,BUTTE,BUTTE,BUTTE,,SURFACE WIDTH CHANGE,0.237500000000001,0.237500000000001,553.077225602369
3014,C000019A,26.9314,26.9613,027+0.0972,027+0.1271,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,2114,Yes,Asphalt,24,2,50,,,,,,,,,,DEER LODGE,BUTTE,BUTTE,BUTTE,,BEGIN 50 MPH SPEED LIMIT,0.0299000000000014,0.0299000000000014,69.4373376404571
3015,C000019A,26.9613,27.1758,027+0.1271,027+0.3416,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1106,Yes,Asphalt,24,2,50,,,,,,,,,,DEER LODGE,MISSOULA,BUTTE,MISSOULA,,LV MAINT SECT 2114/ENT MAINT SECT 1106/ENT MISSOULA MAINT DIV/ENT MISSOULA ADMINISTRATIVE DIST,0.214499999999997,0.214499999999997,498.831729271195
3016,C000019A,27.1758,27.5166,027+0.3416,027+0.6824,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1106,Yes,Asphalt,24,2,50,,,,,,,,,,DEER LODGE,MISSOULA,BUTTE,MISSOULA,,AADT CHANGE,0.340800000000002,0.340800000000002,789.770740222163
3017,C000019A,27.5166,30.3629,027+0.6824,030+0.5431,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1106,Yes,Asphalt,24,2,50,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,,LV DEER LODGE CO/ENT GRANITE CO/ENT MISSOULA FINANCIAL DIST,2.8463,2.8463,6588.88501217494
3018,C000019A,30.3629,30.6852,030+0.5431,030+0.8654,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1106,Yes,Asphalt,24,2,70,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,,BEGIN 70 MPH SPEED LIMIT,0.322299999999998,0.322299999999998,749.046361163927
3019,C000019A,30.6852,31.4444,030+0.8654,031+0.5986,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1106,Yes,Asphalt,32,2,70,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,,SURFACE WIDTH CHANGE,0.759200000000003,0.759200000000003,1763.73991417193
3020,C000019A,31.4444,35.9131,031+0.5986,036+0.2045,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1106,Yes,Asphalt,32,2,70,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,,AADT CHANGE,4.4687,4.4687,10419.4067350308
3021,C000019A,35.9131,37.5539,036+0.2045,037+0.8761,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1106,Yes,Asphalt,32,2,70,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,,AADT CHANGE,1.6408,1.6408,3830.18914503236
3022,C000019A,37.5539,37.8116,037+0.8761,038+0.0441,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1106,Yes,Asphalt,32,2,55,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,,BEGIN 55 MPH SPEED LIMIT,0.2577,0.2577,601.686524548868
3023,C000019A,37.8116,38.1927,038+0.0441,038+0.4251,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1106,Yes,Asphalt,46,2,55,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,,SURFACE WIDTH CHANGE,0.381100000000004,0.381100000000004,889.708319583909
3024,C000019A,38.1927,38.2994,038+0.4251,038+0.5318,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1106,Yes,Asphalt,46,2,55,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,JCT S-348,AADT CHANGE/JCT S-348,0.106699999999996,0.106699999999996,249.243018626789
3025,C000019A,38.2994,38.3274,038+0.5318,038+0.5599,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1106,Yes,Asphalt,30,2,55,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,,SURFACE WIDTH CHANGE,0.0279999999999987,0.0279999999999987,65.4536239422243
3026,C000019A,38.3274,48.0703,038+0.5599,048+0.3659,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1106,Yes,Asphalt,30,2,70,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,,BEGIN 70 MPH SPEED LIMIT,9.74290000000001,9.74290000000001,22754.2618551167
3027,C000019A,48.0703,48.3174,048+0.3659,048+0.6130,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1106,Yes,Asphalt,28,2,70,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,,SURFACE WIDTH CHANGE,0.247099999999996,0.247099999999996,577.453002192983
3028,C000019A,48.3174,56.8981,048+0.6130,057+0.1820,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1106,Yes,Asphalt,28,2,70,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,,AADT CHANGE,8.5807,8.5807,20098.3686802858
3029,C000019A,56.8981,57.0283,057+0.1820,057+0.3122,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1106,Yes,Asphalt,28,2,40,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,,BEGIN 40 MPH SPEED LIMIT,0.130200000000002,0.130200000000002,305.345166093796
3030,C000019A,57.0283,57.0582,057+0.3122,057+0.3421,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1106,Yes,Asphalt,41,2,40,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,,SURFACE WIDTH CHANGE,0.0298999999999978,0.0298999999999978,70.0016935475996
3031,C000019A,57.0582,57.1647,057+0.3421,057+0.4486,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1106,Yes,Asphalt,41,2,30,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,,BEGIN 30 MPH SPEED LIMIT,0.106500000000004,0.106500000000004,249.676863305698
3032,C000019A,57.1647,57.1969,057+0.4486,057+0.4808,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1106,Yes,Asphalt,41,2,30,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,JCT S-512/S-513,AADT CHANGE/JCT S-512/S-513,0.032199999999996,0.032199999999996,75.5383308062708
3033,C000019A,57.1969,57.294,057+0.4808,057+0.5779,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1105,Yes,Asphalt,41,2,30,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,,LV MAINT SECT 1106/ENT MAINT SECT 1105,0.0970999999999975,0.0970999999999975,227.867487587245
3034,C000019A,57.294,57.3722,057+0.5779,057+0.6561,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1105,Yes,Asphalt,41,2,40,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,,BEGIN 40 MPH SPEED LIMIT,0.0782000000000025,0.0782000000000025,183.441500315335
3035,C000019A,57.3722,57.5706,057+0.6561,057+0.8545,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1105,Yes,Asphalt,28,2,40,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,,SURFACE WIDTH CHANGE,0.198399999999999,0.198399999999999,465.512631472348
3036,C000019A,57.5706,60.8737,057+0.8545,061+0.1591,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1105,Yes,Asphalt,28,2,70,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,,BEGIN 70 MPH SPEED LIMIT,3.3031,3.3031,7748.52110882466
3037,C000019A,60.8737,62.2689,061+0.1591,062+0.5551,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1105,Yes,Asphalt,28,2,70,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,,AADT CHANGE,1.3952,1.3952,3275.30431740434
3038,C000019A,62.2689,62.5173,062+0.5551,062+0.8036,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1105,Yes,Asphalt,40,2,70,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,,SURFACE WIDTH CHANGE,0.248399999999997,0.248399999999997,583.506095678795
3039,C000019A,62.5173,62.8963,062+0.8036,063+0.2221,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1105,Yes,Asphalt,40,2,55,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,,BEGIN 55 MPH SPEED LIMIT,0.378999999999998,0.378999999999998,888.927090167608
3040,C000019A,62.8963,63.2622,063+0.2221,063+0.5880,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1105,Yes,Asphalt,28,2,55,,,,,,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,,SURFACE WIDTH CHANGE,0.365900000000003,0.365900000000003,859.5623516442
3041,C000019A,63.2622,63.5613,063+0.5880,063+0.8871,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1105,Yes,Asphalt,28,2,55,,,,,Drummond,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,,ENT DRUMMOND CITY LIMITS,0.299100000000003,0.299100000000003,702.70367903487
3042,C000019A,63.5613,63.5965,063+0.8871,063+0.9223,P-19A,,MT-1,Primary,4-Minor Arterial,Road,Yes,1105,Yes,Asphalt,28,2,55,,,,,Drummond,,,,,GRANITE,MISSOULA,MISSOULA,MISSOULA,JCT P-96 W DRUMMOND INTERCHANGE,JCT P-96 W DRUMMOND INTERCHANGE,0.0351999999999961,0.0351999999999961,82.8627244694672
3044,C000019D,0,6.854,000+0.0000,006+0.8540,P-19D,,,Primary,4-Minor Arterial,Road,,,,,,,,Yes,,,,,,,,,DEER LODGE,BUTTE,BUTTE,BUTTE,,ENT P-19D/BEGIN DIVIDED ROADWAY,6.854,0,15899.2792379615
3045,C000019D,6.854,7.0104,006+0.8540,007+0.0104,P-19D,,,Primary,4-Minor Arterial,Road,,,,,,,,Yes,,,,,Anaconda,,,,DEER LODGE,BUTTE,BUTTE,BUTTE,,ENT ANACONDA URBAN AREA,0.1564,0,362.659086461206
3046,C000019D,7.0104,7.1471,007+0.0104,007+0.1471,P-19D,,,Primary,4-Minor Arterial,Road,,,,,,,,Yes,,,,Anaconda,Anaconda,,,,DEER LODGE,BUTTE,BUTTE,BUTTE,,ENT ANACONDA CITY LIMITS,0.1367,0,317.049008530797
3049,C000020A,0,0.5595,000+0.0000,000+0.5595,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Concrete,39,2,40,,,,,,Glendive,,,,DAWSON,MILES CITY,GLENDIVE,GLENDIVE,JCT N-57,ENT N-20A/ENT MT-16/,0.5595,0.5595,1324.45686972324
3050,C000020A,0.5595,0.5794,000+0.5595,000+0.5794,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Concrete,39,2,40,,,,,,Glendive,,,,DAWSON,MILES CITY,GLENDIVE,GLENDIVE,JCT I-94 ON RAMP SIDNEY INTERCHANGE,JCT I-94 ON RAMP SIDNEY INTERCHANGE,0.0199,0.0199,47.1924394143155
3051,C000020A,0.5794,0.6789,000+0.5794,000+0.6789,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,40,2,40,,,,,,Glendive,,,,DAWSON,MILES CITY,GLENDIVE,GLENDIVE,,BEGIN ASPHALT SURFACE/SURFACE WIDTH CHANGE,0.0994999999999999,0.0994999999999999,235.665018779383
3052,C000020A,0.6789,1.1594,000+0.6789,001+0.1805,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,40,2,40,,,,,,Glendive,,,,DAWSON,MILES CITY,GLENDIVE,GLENDIVE,,AADT CHANGE,0.4805,0.4805,1138.05132865688
3053,C000020A,1.1594,1.403,001+0.1805,001+0.4241,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,40,2,40,,,,,,Glendive,,,,DAWSON,MILES CITY,GLENDIVE,GLENDIVE,JCT U-5001 (HIGHLAND PARK RD),AADT CHANGE/JCT U-5001 (HIGHLAND PARK RD),0.2436,0.2436,576.745709563786
3054,C000020A,1.403,1.7588,001+0.4241,001+0.7799,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,40,2,55,,,,,,Glendive,,,,DAWSON,MILES CITY,GLENDIVE,GLENDIVE,,BEGIN 55 MPH SPEED LIMIT,0.3558,0.3558,842.211566260272
3055,C000020A,1.7588,2.3633,001+0.7799,002+0.4186,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,40,2,65,,,,,,Glendive,,,,DAWSON,MILES CITY,GLENDIVE,GLENDIVE,,BEGIN 65 MPH SPEED LIMIT,0.6045,0.6045,1431.06686813328
3056,C000020A,2.3633,2.9776,002+0.4186,002+1.0328,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,40,2,65,,,,,,Glendive,,,,DAWSON,MILES CITY,GLENDIVE,GLENDIVE,,AADT CHANGE,0.6143,0.6143,1453.10056549396
3057,C000020A,2.9776,3.0549,002+1.0328,003+0.0540,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,40,2,65,,,,,,,,,,DAWSON,MILES CITY,GLENDIVE,GLENDIVE,,LV GLENDIVE URBAN AREA,0.0773000000000001,0.0773000000000001,183.054436719279
3058,C000020A,3.0549,3.1159,003+0.0540,003+0.1150,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,48,2,65,,,,,,,,,,DAWSON,MILES CITY,GLENDIVE,GLENDIVE,,SURFACE WIDTH CHANGE,0.0609999999999999,0.0609999999999999,144.435330834444
3059,C000020A,3.1159,3.142,003+0.1150,003+0.1412,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,54,2,65,,,,,,,,,,DAWSON,MILES CITY,GLENDIVE,GLENDIVE,,SURFACE WIDTH CHANGE,0.0261,0.0261,62.0085507583702
3060,C000020A,3.142,3.1884,003+0.1412,003+0.1876,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,61,2,65,,,,,,,,,,DAWSON,MILES CITY,GLENDIVE,GLENDIVE,,SURFACE WIDTH CHANGE,0.0464000000000002,0.0464000000000002,109.930124883871
3061,C000020A,3.1884,3.6318,003+0.1876,003+0.6310,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,40,2,65,,,,,,,,,,DAWSON,MILES CITY,GLENDIVE,GLENDIVE,,SURFACE WIDTH CHANGE,0.4434,0.4434,1050.87520446274
3062,C000020A,3.6318,3.7166,003+0.6310,003+0.7157,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,48,2,65,,,,,,,,,,DAWSON,MILES CITY,GLENDIVE,GLENDIVE,,SURFACE WIDTH CHANGE,0.0848,0.0848,200.878648254298
3063,C000020A,3.7166,3.8225,003+0.7157,003+0.8216,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,48,2,65,,,,,,,,,,DAWSON,MILES CITY,GLENDIVE,GLENDIVE,JCT S-254,AADT CHANGE/JCT S-254,0.1059,0.1059,251.063585553975
3064,C000020A,3.8225,8.114,003+0.8216,008+0.1288,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,40,2,65,,,,,,,,,,DAWSON,MILES CITY,GLENDIVE,GLENDIVE,,SURFACE WIDTH CHANGE,4.2915,4.2915,10173.9791629516
3065,C000020A,8.114,16.9897,008+0.1288,017+0.0501,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,40,2,65,,,,,,,,,,DAWSON,MILES CITY,GLENDIVE,GLENDIVE,,AADT CHANGE,8.8757,8.8757,21029.4469728468
3066,C000020A,16.9897,17.0196,017+0.0501,017+0.0800,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,54,2,65,,,,,,,,,,DAWSON,MILES CITY,GLENDIVE,GLENDIVE,,SURFACE WIDTH CHANGE,0.0299000000000014,0.0299000000000014,70.7291815379725
3067,C000020A,17.0196,17.0587,017+0.0800,017+0.1191,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,54,2,65,,,,,,,,,,DAWSON,MILES CITY,GLENDIVE,GLENDIVE,,AADT CHANGE,0.0391000000000012,0.0391000000000012,92.5482047107243
3068,C000020A,17.0587,22.7368,017+0.1191,023+0.1236,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,40,2,65,,,,,,,,,,DAWSON,MILES CITY,GLENDIVE,GLENDIVE,,SURFACE WIDTH CHANGE,5.6781,5.6781,13477.3049220895
3069,C000020A,22.7368,28.5323,023+0.1236,028+0.8691,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,40,2,65,,,,,,,,,,RICHLAND,MILES CITY,GLENDIVE,GLENDIVE,,LV DAWSON CO/ENT RICHLAND CO,5.7955,5.7955,13767.4734406524
3070,C000020A,28.5323,28.5741,028+0.8691,028+0.9109,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,38,2,65,,,,,,,,,,RICHLAND,MILES CITY,GLENDIVE,GLENDIVE,,SURFACE WIDTH CHANGE,0.0418000000000021,0.0418000000000021,99.3203754429024
3071,C000020A,28.5741,31.1606,028+0.9109,031+0.5431,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,38,2,65,,,,,,,,,,RICHLAND,MILES CITY,GLENDIVE,GLENDIVE,,AADT CHANGE,2.5865,2.5865,6157.35303442284
3072,C000020A,31.1606,31.8533,031+0.5431,032+0.2962,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,38,2,55,,,,,,,,,,RICHLAND,MILES CITY,GLENDIVE,GLENDIVE,,BEGIN 55 MPH SPEED LIMIT,0.692700000000002,0.692700000000002,1650.55594515566
3073,C000020A,31.8533,32.2363,032+0.2962,032+0.6792,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,38,2,65,,,,,,,,,,RICHLAND,MILES CITY,GLENDIVE,GLENDIVE,,BEGIN 65 MPH SPEED LIMIT,0.382999999999999,0.382999999999999,913.193016452565
3074,C000020A,32.2363,32.3211,032+0.6792,032+0.7640,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4308,Yes,Asphalt,46,2,65,,,,,,,,,,RICHLAND,MILES CITY,GLENDIVE,GLENDIVE,,SURFACE WIDTH CHANGE,0.0848000000000013,0.0848000000000013,202.155210656446
3075,C000020A,32.3211,32.3511,032+0.7640,032+0.7940,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4311,Yes,Asphalt,46,2,65,,,,,,,,,,RICHLAND,MILES CITY,GLENDIVE,GLENDIVE,,LV MAINT SECT 4308/ENT MAINT SECT 4311,0.0300000000000011,0.0300000000000011,71.3487905735628
3076,C000020A,32.3511,36.0117,032+0.7940,036+0.4013,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4311,Yes,Asphalt,38,2,65,,,,,,,,,,RICHLAND,MILES CITY,GLENDIVE,GLENDIVE,,SURFACE WIDTH CHANGE,3.6606,3.6606,8730.45554469919
3077,C000020A,36.0117,46.8348,036+0.4013,047+0.2590,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4311,Yes,Asphalt,38,2,65,,,,,,,,,,RICHLAND,MILES CITY,GLENDIVE,GLENDIVE,,AADT CHANGE,10.8231,10.8231,25843.6218383854
3078,C000020A,46.8348,49.3572,047+0.2590,049+0.7322,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4311,Yes,Asphalt,38,2,65,,,,,,,,,,RICHLAND,MILES CITY,GLENDIVE,GLENDIVE,,AADT CHANGE,2.5224,2.5224,6034.5618783346
3079,C000020A,49.3572,49.3882,049+0.7322,049+0.7632,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4311,Yes,Asphalt,81,4,65,,,,,,,,,,RICHLAND,MILES CITY,GLENDIVE,GLENDIVE,,BEGIN 4 LANES/SURFACE WIDTH CHANGE,0.0309999999999988,0.0309999999999988,73.9802995562321
3080,C000020A,49.3882,49.4415,049+0.7632,049+0.8165,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4311,Yes,Asphalt,81,4,55,,,,,,,,,,RICHLAND,MILES CITY,GLENDIVE,GLENDIVE,,BEGIN 55 MPH SPEED LIMIT,0.0533000000000001,0.0533000000000001,127.544481470946
3081,C000020A,49.4415,49.4877,049+0.8165,049+0.8627,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4311,Yes,Asphalt,68,4,55,Yes,,,,,,,,,RICHLAND,MILES CITY,GLENDIVE,GLENDIVE,,SURFACE WIDTH CHANGE/BEGIN DIVIDED ROADWAY,0.0461999999999989,0.0461999999999989,110.559321123275
3082,C000020A,49.4877,49.5741,049+0.8627,050+0.0117,N-20A,,MT-16,NI-NHS,3-Principal Arterial - Other,Road,Yes,4311,Yes,Concrete,68,4,55,Yes,,,,,,,,,RICHLAND,MILES CITY,GLENDIVE,GLENDIVE,,BEGIN CONCRETE SURFACE,0.0864000000000047,0.0864000000000047,206.656482152918
3083,C000020A,49.5741,49.6683,050+0.0117,050+0.1060,N-20A,CENTRAL AVE,MT-16/MT-200,NI-NHS,3-Principal Arterial - Other,Road,Yes,4311,Yes,Concrete,68,4,55,Yes,,,,,Sidney,,,,RICHLAND,MILES CITY,GLENDIVE,GLENDIVE,JCT MONTANA 200,LV MT-16 / ENT MT-16/MT-200/ENT SIDNEY URBAN AREA/ENT CENTRAL AVE/AADT CHANGE/JCT MONTANA 200,0.0942000000000007,0.0942000000000007,225.528059152662
3084,C000020A,49.6683,49.8104,050+0.1060,050+0.2481,N-20A,CENTRAL AVE,MT-16/MT-200,NI-NHS,3-Principal Arterial - Other,Road,Yes,4311,Yes,Asphalt,68,4,55,Yes,,,,,Sidney,,,,RICHLAND,MILES CITY,GLENDIVE,GLENDIVE,,BEGIN ASPHALT SURFACE,0.142099999999999,0.142099999999999,340.225498607567
3085,C000020A,49.8104,49.9413,050+0.2481,050+0.3790,N-20A,CENTRAL AVE,MT-16/MT-200,NI-NHS,3-Principal Arterial - Other,Road,Yes,4311,Yes,Asphalt,81,4,55,,,,,,Sidney,,,,RICHLAND,MILES CITY,GLENDIVE,GLENDIVE,,SURFACE WIDTH CHANGE/END DIVIDED ROADWAY,0.130899999999997,0.130899999999997,313.222065977689
3086,C000020A,49.9413,50.1918,050+0.3790,050+0.6295,N-20A,CENTRAL AVE,MT-16/MT-200,NI-NHS,3-Principal Arterial - Other,Road,Yes,4311,Yes,Asphalt,81,4,55,,,,,,Sidney,,,,RICHLAND,MILES CITY,GLENDIVE,GLENDIVE,,AADT CHANGE,0.250500000000002,0.250500000000002,599.614059389308
3087,C000020A,50.1918,50.4975,050+0.6295,050+0.9352,N-20A,CENTRAL AVE,MT-16/MT-200,NI-NHS,3-Principal Arterial - Other,Road,Yes,4311,Yes,Asphalt,81,4,45,,,,,,Sidney,,,,RICHLAND,MILES CITY,GLENDIVE,GLENDIVE,,BEGIN 45 MPH SPEED LIMIT,0.305700000000002,0.305700000000002,731.886142009164
3088,C000020A,50.4975,50.9303,050+0.9352,051+0.3522,N-20A,CENTRAL AVE,MT-16/MT-200,NI-NHS,3-Principal Arterial - Other,Road,Yes,4311,Yes,Asphalt,81,4,45,,,,,Sidney,Sidney,,,,RICHLAND,MILES CITY,GLENDIVE,GLENDIVE,,ENT SIDNEY CITY LIMITS,0.4328,0.4328,1036.14421373088
3089,C000020A,50.9303,51.0499,051+0.3522,051+0.4718,N-20A,CENTRAL AVE,MT-16/MT-200,NI-NHS,3-Principal Arterial - Other,Road,Yes,4311,Yes,Asphalt,81,4,35,,,,,Sidney,Sidney,,,,RICHLAND,MILES CITY,GLENDIVE,GLENDIVE,,BEGIN 35 MPH SPEED LIMIT,0.119599999999998,0.119599999999998,286.44779966443
