OBJECTID,ROUTE ID,BEGIN MILE,END MILE,BEGIN REFERENCE POINT,END REFERENCE POINT,DEPARTMENTAL ROUTE,ROUTE NAME,SIGNED ROUTE,SYSTEM,FUNCTIONAL CLASS,ROUTE CATEGORY,STATE MAINTAINED,MAINTENANCE SECTION,STATE RESPONSIBLE,SURFACE TYPE,SURFACE WIDTH,THROUGH LANES,SPEED LIMIT,DIVIDED,ONE WAY,COINCIDENT,SEASONAL,CITY,URBAN AREA,MPO,RESERVATION,NATIONAL PARK,COUNTY,MAINTENANCE DIVISION,FINANCIAL DISTRICT,ADMINISTRATIVE DISTRICT,JUNCTION DESCRIPTION,DESCRIPTION,RECORD LENGTH (MI),CENTERLINE MILEAGE,Shape__Length
15,C000001A,13.9727,14.5002,014+0.0107,014+0.5383,N-1A,MISSOULA AVE,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1220,Yes,Asphalt,44,2,25,,,,,Troy,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,AADT CHANGE,0.5275,0.5275,1281.51055265685
16,C000001A,14.5002,14.7688,014+0.5383,014+0.8069,N-1A,MISSOULA AVE,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1220,Yes,Asphalt,44,2,35,,,,,Troy,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,BEGIN 35 MPH SPEED LIMIT,0.268600000000001,0.268600000000001,650.613221447361
17,C000001A,14.7688,15.1018,014+0.8069,015+0.1100,N-1A,MISSOULA AVE,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1220,Yes,Asphalt,44,2,45,,,,,Troy,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,BEGIN 45 MPH SPEED LIMIT,0.333,0.333,807.733834518799
18,C000001A,15.1018,15.2809,015+0.1100,015+0.2891,N-1A,MISSOULA AVE,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1220,Yes,Asphalt,44,2,45,,,,,Troy,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,AADT CHANGE,0.1791,0.1791,434.191039467703
19,C000001A,15.2809,15.3068,015+0.2891,015+0.3150,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1220,Yes,Asphalt,44,2,45,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,LV TROY CITY LIMITS/LV MISSOULA AVE,0.0259,0.0259,62.8631898434268
20,C000001A,15.3068,15.35,015+0.3150,015+0.3582,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1220,Yes,Asphalt,42,2,45,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,SURFACE WIDTH CHANGE,0.0431999999999988,0.0431999999999988,103.965588914959
21,C000001A,15.35,15.4057,015+0.3582,015+0.4139,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1220,Yes,Asphalt,42,2,60,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,BEGIN 60 MPH SPEED LIMIT,0.0556999999999999,0.0556999999999999,135.019467619426
22,C000001A,15.4057,16.4627,015+0.4139,016+0.4654,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1220,Yes,Asphalt,50,3,60,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,BEGIN 3 LANES/SURFACE WIDTH CHANGE,1.057,1.057,2561.72699929983
23,C000001A,16.4627,16.5163,016+0.4654,016+0.5190,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1220,Yes,Asphalt,50,3,60,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,AADT CHANGE,0.0535999999999994,0.0535999999999994,129.877431638844
24,C000001A,16.5163,16.9224,016+0.5190,016+0.9251,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1220,Yes,Asphalt,42,2,60,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,BEGIN 2 LANES/SURFACE WIDTH CHANGE,0.406099999999999,0.406099999999999,983.537222358014
25,C000001A,16.9224,17.101,016+0.9251,017+0.1420,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1220,Yes,Asphalt,62,3,60,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,JCT P-56,BEGIN 3 LANES/SURFACE WIDTH CHANGE/AADT CHANGE/JCT P-56,0.178599999999999,0.178599999999999,432.649554228141
26,C000001A,17.101,17.136,017+0.1420,017+0.1770,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1220,Yes,Asphalt,42,2,60,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,BEGIN 2 LANES/SURFACE WIDTH CHANGE,0.0350000000000001,0.0350000000000001,84.6904847809232
27,C000001A,17.136,23.8916,017+0.1770,023+0.8987,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1220,Yes,Asphalt,42,2,70,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,BEGIN 70 MPH SPEED LIMIT,6.7556,6.7556,16360.1666084494
28,C000001A,23.8916,27.763,023+0.8987,027+0.7944,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,42,2,70,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,LV MAINT SECT 1220/ENT MAINT SECT 1219,3.8714,3.8714,9379.22287510809
29,C000001A,27.763,29.8152,027+0.7944,029+0.8790,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,42,2,70,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,AADT CHANGE,2.0522,2.0522,4975.38762838176
30,C000001A,29.8152,29.8604,029+0.8790,029+0.9241,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,42,2,55,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,BEGIN 55 MPH SPEED LIMIT,0.0451999999999977,0.0451999999999977,109.418999033435
