route,segment_name,SIGNED_ROUTE,crashes,length,DEPT_ID,TOTAL_CRASHES,AVG_TYC_AADT,MILES_DRIVEN,ROUTE_NAME,SYSTEM,CARS_PER_ACCIDENT,MILES_PER_ACCIDENT,CRASHES_PER_100M_VMT
S-486_S-486,S-486_S-486,S-486,47,20.708000,S-486,47,898.066158,18597.154000,NUCLEUS AVE,Urban,19.107791,395.684128,138.385677
US-12_N-8_Start-_Helena-,US-12_N-8_Start-_Helena-,US-12,358,40.362000,N-8,358,3544.756113,143073.446250,,NI-NHS,9.901553,399.646498,137.013626
MT-200_P-6_Plains_End,MT-200_P-6_Plains_End,MT-200,227,39.554000,P-6,227,2301.336430,91027.061167,,Primary,10.138046,401.000269,136.551070
MT-35_P-52_Big-Fork_Kallispell,MT-35_P-52_Big-Fork_Kallispell,MT-35,480,20.016000,P-52,480,9649.135004,193137.086250,S SHORE RD,Primary,20.102365,402.368930,136.086590
MT-200_US-93_N-5_Whitefish_Eureka,MT-200_US-93_N-5_Whitefish_Eureka,MT-200/US-93,417,51.099000,N-5,417,3305.556943,168910.654250,,NI-NHS,7.926995,405.061521,135.181973
S-203_S-203_Stevensville_Florence,S-203_S-203_Stevensville_Florence,S-203,150,10.752000,S-203,150,5696.387509,61247.558500,STEVENSVILLE RD,Secondary,37.975917,408.317057,134.104160
I-15_I-15_Conrad_Shelby,I-15_I-15_Conrad_Shelby,I-15,178,25.270000,I-15,178,2907.302038,73467.522500,,Interstate,16.333158,412.738890,132.667449
MT-200_US-93_N-5_I-90-Exit-96_Arlee,MT-200_US-93_N-5_I-90-Exit-96_Arlee,MT-200/US-93,377,18.161000,N-5,377,9076.960602,164846.681500,,NI-NHS,24.076819,437.259102,125.227847
S-345_S-345,S-345_S-345,S-345,86,12.039000,S-345,86,3143.880513,37849.177500,COTTONWOOD RD,Urban,36.556750,440.106715,124.417588
MT-200_US-89_P-3_Choteau_Browning,MT-200_US-89_P-3_Choteau_Browning,MT-200/US-89,125,67.409000,P-3,125,820.293154,55295.141250,,NI-NHS,6.562345,442.361130,123.783515
MT-200_P-6_Thompson-Falls_Plains,MT-200_P-6_Thompson-Falls_Plains,MT-200,123,22.558000,P-6,123,2450.899371,55287.388000,,Primary,19.926011,449.490959,121.820060
US-2_N-1_Columbia-Falls_Browning,US-2_N-1_Columbia-Falls_Browning,US-2,529,81.880000,N-1,529,2998.520936,245518.894250,,NI-NHS,5.668282,464.118893,117.980579
MT-200_US-93_N-5_Arlee_Polson,MT-200_US-93_N-5_Arlee_Polson,MT-200/US-93,879,42.280000,N-5,879,9706.780310,410402.671500,,NI-NHS,11.042981,466.897237,117.278517
I-90_I-90_Butte_White-Hall,I-90_I-90_Butte_White-Hall,I-90,464,22.179000,I-90,464,9788.015443,217088.394500,,Interstate,21.094861,467.862919,117.036451
MT-141_P-41,MT-141_P-41,MT-141,96,32.459000,P-41,96,1390.542058,45135.604667,,Primary,14.484813,470.162549,116.464010
I-90_I-90_Idaho-Border_Missoula,I-90_I-90_Idaho-Border_Missoula,I-90,2061,103.720000,I-90,2061,9591.307838,994810.449000,,Interstate,4.653716,482.683381,113.442927
I-15_I-15_Helena_Great-Falls,I-15_I-15_Helena_Great-Falls,I-15,1020,85.666000,I-15,1020,5831.412445,499553.778500,,Interstate,5.717071,489.758606,111.804091
US-12_P-14_Townsend_White-Sulfur-Springs,US-12_P-14_Townsend_White-Sulfur-Springs,US-12,93,41.047000,P-14,93,1109.700996,45549.896800,BROADWAY ST,Primary,11.932269,489.783837,111.798332
MT-72_P-72_Belfry_Junction-Near-Bridger,MT-72_P-72_Belfry_Junction-Near-Bridger,MT-72,37,10.479000,P-72,37,1746.671915,18303.375000,,Primary,47.207349,494.685811,110.690492
US-191_P-45_Big-Timber_Harlowton,US-191_P-45_Big-Timber_Harlowton,US-191,76,42.420000,P-45,76,905.677434,38418.836750,FRONTAGE RD,Primary,11.916808,505.511010,108.320125
US-93_N-7_Stevensville_Missoula,US-93_N-7_Stevensville_Missoula,US-93,831,24.013000,N-7,831,17612.911735,422938.849500,,NI-NHS,21.194840,508.951684,107.587847
US-2_N-1_Kalispell_Columbia-Falls,US-2_N-1_Kalispell_Columbia-Falls,US-2,309,9.238000,N-1,309,17250.796547,159362.858500,,NI-NHS,55.827821,515.737406,106.172279
MT-55_N-55,MT-55_N-55,MT-55,60,12.932000,N-55,60,2466.380413,31895.231500,,NI-NHS,41.106340,531.587192,103.006650
MT-78_P-78_Red-Lodge_Roscoe,MT-78_P-78_Red-Lodge_Roscoe,MT-78,36,19.773000,P-78,36,971.589023,19211.229750,3RD ST,Primary,26.988584,533.645271,102.609390
US-2_N-1_Idaho-Border_Libby,US-2_N-1_Idaho-Border_Libby,US-2,152,29.955000,N-1,152,2731.946470,81835.456500,,NI-NHS,17.973332,538.391161,101.704894
MT-1_P-19_Anaconda_Drummond---I-90-Exit-153,MT-1_P-19_Anaconda_Drummond---I-90-Exit-153,MT-1,165,55.294000,P-19,165,1615.799192,89344.000550,,Primary,9.792722,541.478791,101.124950
US-191_US-20_US-287_N-50_West-Yellowstone_Gallitan-Gateway,US-191_US-20_US-287_N-50_West-Yellowstone_Gallitan-Gateway,US-191/US-20/US-287,687,75.283000,N-50,687,4995.481686,376074.847750,YELLOWSTONE AVE,NI-NHS,7.271444,547.416081,100.028146
US-2_N-1_Glasgow_Wolf-Point,US-2_N-1_Glasgow_Wolf-Point,US-2,143,47.723000,N-1,143,1663.427579,79383.754333,,NI-NHS,11.632361,555.131149,98.637981
US-87_N-10_Great-Falls_Fort-Benton,US-87_N-10_Great-Falls_Fort-Benton,US-87,204,48.032000,N-10,204,2451.108106,117731.624550,15TH ST,NI-NHS,12.015236,577.115807,94.880464
MT-1_P-19_I-90-Exit-208-_Anaconda,MT-1_P-19_I-90-Exit-208-_Anaconda,MT-1,82,8.270000,P-19,82,5785.651227,47847.335650,,Primary,70.556722,583.504093,93.841699
