CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C012004,A,001+0.405,NOT IN CITY LIMITS,FLATHEAD,NOVEMBER,2019,WED,240992.89052,471206.76530,,,1.405
C012004,A,001+0.451,NOT IN CITY LIMITS,FLATHEAD,JULY,2019,WED,241020.58154,471129.59652,48.3896711277024,-114.35167444502,1.451
C012004,A,001+0.859,NOT IN CITY LIMITS,FLATHEAD,AUGUST,2019,SUN,240944.22095,470477.95584,,,1.859
C012004,A,002+0.509,NOT IN CITY LIMITS,FLATHEAD,JANUARY,2019,FRI,240891.83130,469430.92235,48.374347686767599,-114.35198974609401,2.509
C012004,A,002+0.747,NOT IN CITY LIMITS,FLATHEAD,FEBRUARY,2019,FRI,241275.24749,469407.60486,48.374351739166102,-114.346803076299,2.747
C012004,A,002+0.760,NOT IN CITY LIMITS,FLATHEAD,NOVEMBER,2019,SUN,241278.89249,469384.59618,,,2.76
C012004,A,002+0.922,NOT IN CITY LIMITS,FLATHEAD,MAY,2019,SUN,241259.82630,469124.79772,,,2.922
C012004,A,002+0.983,NOT IN CITY LIMITS,FLATHEAD,OCTOBER,2019,MON,241253.80614,469024.18146,,,2.983
C012004,A,003+0.350,NOT IN CITY LIMITS,FLATHEAD,OCTOBER,2019,TUE,241847.46904,468977.01420,,,3.35
